"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60715099999","2014-01-01","36.851033","10.227217","6.7","CARTHAGE, TS","  52.7","24","  42.4","24","9999.9"," 0","999.9"," 0","  6.2","24","  3.8","24","  8.9","999.9","  64.4","*","  46.4","*"," 0.00","G","999.9","000000"
"60715099999","2014-01-02","36.851033","10.227217","6.7","CARTHAGE, TS","  54.0","24","  41.1","24","9999.9"," 0","999.9"," 0","  5.7","24","  2.3","24","  7.0","999.9","  64.9"," ","  44.2"," "," 0.00","G","999.9","000000"
"60715099999","2014-01-03","36.851033","10.227217","6.7","CARTHAGE, TS","  58.0","24","  46.0","24","9999.9"," 0","999.9"," 0","  5.7","24","  3.7","24","  7.0","999.9","  68.4"," ","  50.0","*"," 0.00","G","999.9","000000"
"60715099999","2014-01-04","36.851033","10.227217","6.7","CARTHAGE, TS","  60.7","24","  48.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  4.6","24"," 11.1"," 18.1","  72.0"," ","  51.8","*"," 0.00","G","999.9","000000"
"60715099999","2014-01-05","36.851033","10.227217","6.7","CARTHAGE, TS","  56.5","24","  44.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  9.2","24"," 21.0"," 35.0","  60.8"," ","  51.8","*"," 0.00","G","999.9","010000"
"60715099999","2014-01-06","36.851033","10.227217","6.7","CARTHAGE, TS","  55.6","24","  46.1","24","9999.9"," 0","999.9"," 0","  6.1","24","  8.0","24"," 15.0","999.9","  63.0"," ","  50.0","*"," 0.03","G","999.9","010000"
"60715099999","2014-01-07","36.851033","10.227217","6.7","CARTHAGE, TS","  53.3","24","  46.3","24","9999.9"," 0","999.9"," 0","  5.7","24","  3.0","24","  6.0","999.9","  64.4"," ","  44.6"," "," 0.02","G","999.9","000000"
"60715099999","2014-01-08","36.851033","10.227217","6.7","CARTHAGE, TS","  51.6","24","  45.5","24","9999.9"," 0","999.9"," 0","  5.4","24","  0.7","24","  4.1","999.9","  65.5"," ","  40.3"," "," 0.00","G","999.9","000000"
"60715099999","2014-01-09","36.851033","10.227217","6.7","CARTHAGE, TS","  51.6","24","  45.5","24","9999.9"," 0","999.9"," 0","  4.5","24","  1.1","24","  6.0","999.9","  67.3"," ","  38.5"," "," 0.00","G","999.9","000000"
"60715099999","2014-01-10","36.851033","10.227217","6.7","CARTHAGE, TS","  54.5","24","  46.3","24","9999.9"," 0","999.9"," 0","  4.9","24","  2.4","24","  8.9","999.9","  72.3"," ","  40.1"," "," 0.00","G","999.9","100000"
"60715099999","2014-01-11","36.851033","10.227217","6.7","CARTHAGE, TS","  53.9","24","  45.7","24","9999.9"," 0","999.9"," 0","  4.6","24","  1.3","24","  7.0","999.9","  69.6"," ","  41.0","*"," 0.00","G","999.9","000000"
