"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60765099999","1998-01-01","33.876919","10.103333","7.92","GABES, TS","  50.9"," 8","  45.2"," 8","1017.7"," 8","017.1"," 8","  4.3"," 8","  1.5"," 8","  4.1","999.9","  62.6"," ","  40.6"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-02","33.876919","10.103333","7.92","GABES, TS","  53.5"," 8","  43.7"," 8","1017.3"," 8","016.7"," 8","  3.1"," 8","  2.3"," 8","  6.0","999.9","  60.4"," ","  45.5"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-03","33.876919","10.103333","7.92","GABES, TS","  53.8"," 7","  40.0"," 7","1018.9"," 7","018.3"," 7","  5.0"," 7","  6.3"," 7","  9.9","999.9","  65.5","*","  48.6"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-04","33.876919","10.103333","7.92","GABES, TS","  59.1"," 5","  41.3"," 5","1025.6"," 5","025.0"," 5","  6.0"," 5","  6.4"," 5"," 12.0","999.9","  67.6"," ","  48.2","*"," 0.00","D","999.9","000000"
"60765099999","1998-01-05","33.876919","10.103333","7.92","GABES, TS","  59.1"," 7","  40.1"," 7","1024.2"," 7","023.6"," 7","  6.2"," 7"," 10.0"," 7"," 12.0","999.9","  66.4","*","  51.1"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-06","33.876919","10.103333","7.92","GABES, TS","  56.9"," 5","  44.7"," 5","1023.8"," 5","023.2"," 5","  6.0"," 5","  2.8"," 5","  6.0","999.9","  61.5","*","  52.9","*"," 0.00","D","999.9","000000"
"60765099999","1998-01-07","33.876919","10.103333","7.92","GABES, TS","  54.3"," 8","  51.3"," 8","1027.0"," 8","026.4"," 8","  3.3"," 8","  0.5"," 8","  1.9","999.9","  61.0"," ","  49.1"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-08","33.876919","10.103333","7.92","GABES, TS","  51.8"," 7","  50.4"," 7","1031.2"," 7","030.6"," 7","  1.3"," 7","  1.0"," 6","  4.1","999.9","  59.7"," ","  45.7"," "," 0.00","D","999.9","100000"
"60765099999","1998-01-09","33.876919","10.103333","7.92","GABES, TS","  52.5"," 6","  48.2"," 6","1032.4"," 6","031.7"," 6","  4.5"," 6","  1.4"," 6","  4.1","999.9","  60.3"," ","  42.8"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-10","33.876919","10.103333","7.92","GABES, TS","  51.1"," 8","  47.2"," 8","1032.1"," 8","031.5"," 8","  3.3"," 8","  0.8"," 8","  4.1","999.9","  59.7"," ","  42.1"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-11","33.876919","10.103333","7.92","GABES, TS","  51.0"," 7","  45.1"," 7","1030.9"," 7","030.3"," 7","  4.7"," 7","  1.7"," 6","  4.1","999.9","  61.7"," ","  42.6"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-12","33.876919","10.103333","7.92","GABES, TS","  52.9"," 8","  43.6"," 8","1029.2"," 8","028.6"," 8","  5.0"," 8","  1.5"," 8","  4.1","999.9","  62.6"," ","  41.4"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-13","33.876919","10.103333","7.92","GABES, TS","  58.7"," 5","  41.6"," 5","1023.5"," 5","022.9"," 5","  5.9"," 4","  3.6"," 5","  6.0","999.9","  67.3","*","  52.5","*"," 0.00","D","999.9","000000"
"60765099999","1998-01-14","33.876919","10.103333","7.92","GABES, TS","  57.0"," 6","  38.5"," 6","1020.3"," 6","019.7"," 6","  5.8"," 6","  6.3"," 6","  9.9","999.9","  61.9"," ","  49.5","*"," 0.00","D","999.9","000000"
"60765099999","1998-01-15","33.876919","10.103333","7.92","GABES, TS","  54.4"," 7","  46.1"," 7","1023.1"," 7","022.5"," 7","  5.1"," 7","  3.2"," 7","  8.0","999.9","  56.7"," ","  52.2","*"," 0.12","D","999.9","010000"
"60765099999","1998-01-16","33.876919","10.103333","7.92","GABES, TS","  52.6"," 7","  37.9"," 7","1024.2"," 7","023.6"," 7","  5.7"," 7","  4.3"," 7","  8.0","999.9","  61.9","*","  45.9"," "," 0.00","D","999.9","000000"
"60765099999","1998-01-17","33.876919","10.103333","7.92","GABES, TS","  51.4"," 6","  35.8"," 6","1022.0"," 6","021.4"," 6","  5.9"," 6","  4.7"," 6","  9.9","999.9","  61.9","*","  43.5"," "," 0.00","D","999.9","000000"
