"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60745099999","2000-01-01","34.422022","8.822503","323.08","GAFSA, TS","  46.8","15","  35.3","15","1025.5"," 7","986.9"," 8","  6.8","15","  3.8","15","  6.0","  7.0","  55.6"," ","  34.2"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-02","34.422022","8.822503","323.08","GAFSA, TS","  45.4","16","  34.5","16","1026.9"," 8","988.4"," 8","  6.2","16","  4.8","16","  8.0","999.9","  53.6"," ","  34.2"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-03","34.422022","8.822503","323.08","GAFSA, TS","  47.8","15","  37.7","15","1028.4"," 8","990.1"," 8","  6.1","15","  6.5","15"," 12.0","999.9","  55.8"," ","  39.9"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-04","34.422022","8.822503","323.08","GAFSA, TS","  46.8","15","  37.0","15","1029.5"," 8","991.0"," 8","  6.1","15","  6.9","15"," 12.0","999.9","  54.0"," ","  39.2"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-05","34.422022","8.822503","323.08","GAFSA, TS","  47.3","14","  37.2","13","1026.7"," 7","988.4"," 7","  5.9","14","  3.9","14","  4.1","999.9","  57.2","*","  32.7"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-06","34.422022","8.822503","323.08","GAFSA, TS","  44.6","13","  36.7","13","1025.7"," 6","987.3"," 5","  6.1","13","  4.1","13","  6.0","999.9","  55.4","*","  30.2","*"," 0.00","D","999.9","000000"
"60745099999","2000-01-07","34.422022","8.822503","323.08","GAFSA, TS","  46.8","15","  37.8","15","1026.2"," 8","988.1"," 8","  6.2","15","  4.7","15","  8.0","999.9","  57.2","*","  32.5"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-08","34.422022","8.822503","323.08","GAFSA, TS","  45.8","16","  37.0","16","1025.7"," 8","987.3"," 8","  6.0","16","  4.1","16","  8.0","999.9","  55.8"," ","  33.8","*"," 0.00","D","999.9","000000"
"60745099999","2000-01-09","34.422022","8.822503","323.08","GAFSA, TS","  46.9","14","  35.2","14","1024.3"," 5","985.8"," 5","  5.7","14","  3.9","14","  8.0","999.9","  57.2"," ","  34.9","*"," 0.00","D","999.9","000000"
"60745099999","2000-01-10","34.422022","8.822503","323.08","GAFSA, TS","  45.5","14","  32.4","14","1025.3"," 6","986.8"," 6","  6.0","14","  5.9","14","  8.0","999.9","  56.1"," ","  31.6"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-11","34.422022","8.822503","323.08","GAFSA, TS","  47.5","15","  35.9","15","1028.3"," 7","989.8"," 7","  6.5","15","  7.8","15","  9.9","999.9","  55.8"," ","  33.8"," "," 0.00","D","999.9","000000"
"60745099999","2000-01-12","34.422022","8.822503","323.08","GAFSA, TS","  46.4","16","  38.8","16","1026.3"," 8","988.0"," 8","  4.7","16","  7.0","16"," 12.0","999.9","  54.7"," ","  33.8","*"," 0.00","D","999.9","000000"
"60745099999","2000-01-13","34.422022","8.822503","323.08","GAFSA, TS","  46.3","15","  38.3","15","1020.2"," 7","982.1"," 7","  6.0","15","  3.7","15","  8.0","999.9","  55.8"," ","  36.3"," "," 0.08","E","999.9","000000"
"60745099999","2000-01-14","34.422022","8.822503","323.08","GAFSA, TS","  45.9","14","  34.2","14","1017.2"," 8","981.8"," 8","  6.0","14","  6.0","14","  9.9","999.9","  55.4"," ","  34.9"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-15","34.422022","8.822503","323.08","GAFSA, TS","  45.6","16","  32.3","16","1020.9"," 7","982.3"," 7","  6.2","16","  5.4","16","  8.0","999.9","  57.2","*","  31.1"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-16","34.422022","8.822503","323.08","GAFSA, TS","  46.7","15","  32.6","15","1023.2"," 8","985.0"," 8","  5.9","15","  3.6","15","  8.0","999.9","  57.9"," ","  30.2"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-17","34.422022","8.822503","323.08","GAFSA, TS","  45.8"," 7","  32.1"," 7","1022.4"," 7","984.3"," 7","  6.0"," 7","  4.6"," 7","  8.0","999.9","  59.0","*","  34.5"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-18","34.422022","8.822503","323.08","GAFSA, TS","  49.9","11","  33.2","11","1019.0"," 8","981.4"," 8","  6.0","11","  7.5","11"," 12.0","999.9","  57.2"," ","  40.8","*"," 0.00","I","999.9","000000"
"60745099999","2000-01-19","34.422022","8.822503","323.08","GAFSA, TS","  48.2","13","  33.5","13","1015.3"," 6","981.3"," 6","  6.4","13","  4.5","13","  8.0","999.9","  59.5"," ","  37.4","*"," 0.00","I","999.9","000000"
"60745099999","2000-01-20","34.422022","8.822503","323.08","GAFSA, TS","  49.2","16","  34.9","16","1022.8"," 7","984.7"," 7","  6.1","16"," 12.8","16"," 16.9","999.9","  54.3"," ","  42.8"," "," 0.08","G","999.9","010000"
"60745099999","2000-01-21","34.422022","8.822503","323.08","GAFSA, TS","  49.0","14","  39.6","14","1024.7"," 7","986.9"," 6","  5.9","14","  6.6","14"," 12.0","999.9","  58.3"," ","  42.3"," "," 0.04","G","999.9","010000"
"60745099999","2000-01-22","34.422022","8.822503","323.08","GAFSA, TS","  48.3","16","  32.6","16","1022.2"," 8","984.2"," 8","  6.0","16","  5.4","16","  8.0","999.9","  57.4"," ","  35.2"," "," 0.00","G","999.9","000000"
"60745099999","2000-01-23","34.422022","8.822503","323.08","GAFSA, TS","  47.4","16","  32.6","16","1015.9"," 8","978.2"," 7","  6.3","16","  5.4","16","  9.9","999.9","  57.2","*","  35.6"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-24","34.422022","8.822503","323.08","GAFSA, TS","  47.8","15","  34.0","15","1016.5"," 8","978.5"," 8","  6.5","15","  4.7","15","  8.0","999.9","  57.2"," ","  37.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-25","34.422022","8.822503","323.08","GAFSA, TS","  45.1","15","  32.0","15","1020.5"," 7","982.3"," 7","  6.5","15","  4.5","15","  8.0","999.9","  57.9"," ","  33.8","*"," 0.00","I","999.9","000000"
"60745099999","2000-01-26","34.422022","8.822503","323.08","GAFSA, TS","  50.6","13","  34.9","13","1023.6"," 8","985.7"," 8","  6.3","13","  6.6","13","  9.9","999.9","  62.8"," ","  38.7"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-27","34.422022","8.822503","323.08","GAFSA, TS","  51.7","15","  43.7","15","1030.7"," 7","992.6"," 7","  5.3","15","  7.3","15"," 12.0","999.9","  61.7"," ","  42.4"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-28","34.422022","8.822503","323.08","GAFSA, TS","  48.9","15","  42.1","15","1029.4"," 8","990.5"," 8","  4.4","15","  5.2","15","  8.0","999.9","  58.6"," ","  36.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-29","34.422022","8.822503","323.08","GAFSA, TS","  52.6","15","  38.0","15","1025.3"," 8","987.3"," 8","  5.7","15","  4.4","15","  8.0","999.9","  66.2"," ","  35.8"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-30","34.422022","8.822503","323.08","GAFSA, TS","  55.6","15","  37.7","15","1029.4"," 8","991.1"," 8","  6.0","15","  7.2","15","  9.9","999.9","  64.8"," ","  42.8"," "," 0.00","I","999.9","000000"
"60745099999","2000-01-31","34.422022","8.822503","323.08","GAFSA, TS","  55.2","16","  33.3","16","1032.5"," 7","994.2"," 7","  6.1","16","  6.5","16","  9.9","999.9","  67.3"," ","  41.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-01","34.422022","8.822503","323.08","GAFSA, TS","  53.9","14","  34.1","14","1031.6"," 8","993.5"," 8","  6.3","14","  5.7","14","  8.0","999.9","  66.6"," ","  35.8"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-02","34.422022","8.822503","323.08","GAFSA, TS","  55.4","15","  35.0","15","1028.2"," 7","990.3"," 7","  6.0","15","  5.1","15","  8.0","999.9","  66.9"," ","  36.5"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-03","34.422022","8.822503","323.08","GAFSA, TS","  56.0","13","  40.9","13","1025.0"," 8","987.3"," 8","  6.2","13","  8.9","13"," 12.0","999.9","  65.3"," ","  39.6"," ","99.99"," ","999.9","010000"
"60745099999","2000-02-04","34.422022","8.822503","323.08","GAFSA, TS","  55.5","16","  41.9","16","1029.9"," 8","992.1"," 8","  5.4","16"," 12.7","16"," 16.9","999.9","  61.7"," ","  45.9"," "," 0.03","G","999.9","000000"
"60745099999","2000-02-05","34.422022","8.822503","323.08","GAFSA, TS","  51.4","15","  33.6","15","1034.3"," 8","996.4"," 8","  6.2","15"," 10.2","15"," 21.0","999.9","  57.7"," ","  41.0"," "," 0.00","G","999.9","000000"
"60745099999","2000-02-06","34.422022","8.822503","323.08","GAFSA, TS","  48.6","15","  34.7","15","1033.5"," 8","995.0"," 8","  5.9","15","  6.3","15","  9.9","999.9","  59.0","*","  34.2"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-07","34.422022","8.822503","323.08","GAFSA, TS","  50.8","15","  32.6","15","1028.8"," 8","990.6"," 7","  6.3","15","  4.8","15","  8.0","999.9","  61.7"," ","  38.1"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-08","34.422022","8.822503","323.08","GAFSA, TS","  54.1","15","  35.6","15","1028.2"," 7","990.3"," 7","  6.5","15","  5.5","15","  8.0","999.9","  63.5"," ","  37.8"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-09","34.422022","8.822503","323.08","GAFSA, TS","  57.8","14","  36.6","14","1024.7"," 8","987.1"," 8","  6.1","14","  5.3","14","  9.9","999.9","  68.5"," ","  45.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-10","34.422022","8.822503","323.08","GAFSA, TS","  53.6","16","  29.8","16","1022.1"," 8","984.2"," 8","  3.9","15"," 13.2","16"," 27.0"," 42.9","  61.2"," ","  45.7","*"," 0.00","I","999.9","000000"
"60745099999","2000-02-11","34.422022","8.822503","323.08","GAFSA, TS","  52.3","15","  31.3","15","1023.1"," 8","985.3"," 8","  6.4","15","  5.9","15","  9.9","999.9","  62.1"," ","  39.2"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-12","34.422022","8.822503","323.08","GAFSA, TS","  50.5","16","  33.0","16","1026.3"," 7","988.1"," 7","  6.2","16","  6.7","16"," 12.0","999.9","  61.5"," ","  34.3"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-13","34.422022","8.822503","323.08","GAFSA, TS","  54.2","15","  34.7","15","1025.1"," 7","987.3"," 7","  6.6","15","  7.7","15"," 14.0","999.9","  60.8","*","  41.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-14","34.422022","8.822503","323.08","GAFSA, TS","  54.1","16","  31.7","16","1024.9"," 8","987.0"," 8","  6.4","16","  3.5","16","  6.0","999.9","  63.7"," ","  39.9"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-15","34.422022","8.822503","323.08","GAFSA, TS","  57.7","16","  37.5","16","1025.8"," 8","988.3"," 8","  6.5","16","  4.2","16","  8.0","999.9","  67.3"," ","  46.4"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-16","34.422022","8.822503","323.08","GAFSA, TS","  57.1","16","  34.7","16","1023.8"," 8","986.2"," 8","  6.5","16","  7.8","16"," 14.0","999.9","  66.2","*","  41.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-17","34.422022","8.822503","323.08","GAFSA, TS","  58.1","15","  32.9","15","1016.8"," 8","979.7"," 8","  5.9","14","  8.9","15"," 19.0","999.9","  66.0"," ","  48.4"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-18","34.422022","8.822503","323.08","GAFSA, TS","  59.0","16","  30.6","16","1021.2"," 8","983.9"," 8","  6.6","16","  8.1","14","  9.9","999.9","  65.3","*","  48.2"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-19","34.422022","8.822503","323.08","GAFSA, TS","  57.4","16","  34.0","16","1023.8"," 7","986.2"," 7","  6.1","16","  8.5","16"," 12.0","999.9","  66.6"," ","  38.7"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-20","34.422022","8.822503","323.08","GAFSA, TS","  60.8","16","  37.4","16","1019.4"," 7","982.4"," 7","  6.1","16","  7.5","16"," 12.0","999.9","  70.2"," ","  47.5"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-21","34.422022","8.822503","323.08","GAFSA, TS","  54.5","12","  35.6","12","1022.9"," 7","985.2"," 7","  6.4","12","  8.5","12"," 14.0","999.9","  62.4"," ","  47.8"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-22","34.422022","8.822503","323.08","GAFSA, TS","  51.3","15","  35.2","15","1024.7"," 8","986.7"," 8","  6.5","15","  6.1","15","  8.0","999.9","  61.9"," ","  39.2"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-23","34.422022","8.822503","323.08","GAFSA, TS","  52.3","16","  34.3","16","1020.9"," 8","983.1"," 8","  5.9","16","  5.9","16","  9.9","999.9","  60.4"," ","  39.4"," ","99.99"," ","999.9","010000"
"60745099999","2000-02-24","34.422022","8.822503","323.08","GAFSA, TS","  51.6","15","  36.1","15","1026.3"," 8","988.5"," 8","  6.4","15"," 10.5","15"," 16.9","999.9","  59.2"," ","  41.0","*"," 0.00","G","999.9","000000"
"60745099999","2000-02-25","34.422022","8.822503","323.08","GAFSA, TS","  53.0","14","  36.5","14","1033.5"," 7","995.3"," 7","  6.3","14","  6.4","14","  8.0","999.9","  62.1"," ","  39.0"," "," 0.00","G","999.9","000000"
"60745099999","2000-02-26","34.422022","8.822503","323.08","GAFSA, TS","  54.0","15","  38.5","15","1032.4"," 8","994.3"," 8","  6.3","15","  7.8","15"," 12.0","999.9","  63.9"," ","  42.4"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-27","34.422022","8.822503","323.08","GAFSA, TS","  55.5","16","  30.3","16","1029.0"," 8","991.0"," 8","  6.3","16","  6.0","16","  9.9","999.9","  66.6"," ","  35.8"," "," 0.00","I","999.9","000000"
"60745099999","2000-02-28","34.422022","8.822503","323.08","GAFSA, TS","  56.3","15","  28.9","15","1027.0"," 8","989.5"," 7","  5.8","15","  5.6","15","  8.0","999.9","  68.9"," ","  37.9"," "," 0.00","I","999.9","100000"
"60745099999","2000-02-29","34.422022","8.822503","323.08","GAFSA, TS","  56.0","16","  37.2","16","1028.2"," 8","990.2"," 8","  6.2","16","  6.3","16","  9.9","999.9","  68.0"," ","  41.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-03-01","34.422022","8.822503","323.08","GAFSA, TS","  57.6","14","  36.7","14","1024.4"," 7","986.8"," 7","  6.2","14","  7.7","14"," 15.9","999.9","  69.8"," ","  37.8"," "," 0.00","I","999.9","000000"
"60745099999","2000-03-02","34.422022","8.822503","323.08","GAFSA, TS","  58.7","15","  25.6","15","1021.6"," 7","984.1"," 7","  5.6","13"," 11.4","15"," 19.0","999.9","  68.2"," ","  44.2"," "," 0.00","I","999.9","000000"
"60745099999","2000-03-03","34.422022","8.822503","323.08","GAFSA, TS","  54.9","15","  26.0","15","1028.4"," 7","990.8"," 7","  6.1","15","  6.8","15","  9.9","999.9","  63.3"," ","  41.0"," "," 0.00","I","999.9","000000"
"60745099999","2000-03-04","34.422022","8.822503","323.08","GAFSA, TS","  55.8","14","  22.7","14","1023.8"," 7","986.3"," 8","  6.3","14","  8.2","14"," 16.9","999.9","  68.4"," ","  39.2"," "," 0.00","I","999.9","000000"
"60745099999","2000-03-05","34.422022","8.822503","323.08","GAFSA, TS","  61.2","15","  29.8","14","1024.0"," 7","986.4"," 7","  6.2","15","  5.5","15","  8.0","999.9","  73.6"," ","  40.5"," "," 0.00","I","999.9","000000"
"60745099999","2000-03-06","34.422022","8.822503","323.08","GAFSA, TS","  56.9","16","  26.9","16","1030.5"," 8","992.6"," 8","  6.0","16","  8.5","16"," 14.0","999.9","  67.1"," ","  44.8"," "," 0.00","I","999.9","000000"
