"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60735099999","2015-01-01","35.6666667","10.1","68.0","KAIROUAN, TS","  43.9","24","  37.0","24","1025.3"," 8","017.4"," 8","  4.9","24","  6.3","24","  9.9"," 19.0","  51.8","*","  36.3"," "," 0.22","G","999.9","010000"
"60735099999","2015-01-02","35.6666667","10.1","68.0","KAIROUAN, TS","  49.1","24","  39.0","24","1032.1"," 8","024.7"," 8","  6.3","23","  2.9","24","  8.0","999.9","  56.3"," ","  42.8","*"," 0.02","G","999.9","000000"
"60735099999","2015-01-03","35.6666667","10.1","68.0","KAIROUAN, TS","  52.6","24","  42.1","24","1034.6"," 8","027.2"," 8","  5.7","21","  0.1","24","  2.9","999.9","  69.8","*","  41.0","*"," 0.00","G","999.9","000000"
"60735099999","2015-01-04","35.6666667","10.1","68.0","KAIROUAN, TS","  60.3","24","  36.2","24","1027.3"," 8","020.0"," 8","  6.9","22","  2.0","24","  9.9"," 18.1","  74.7"," ","  49.6"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-05","35.6666667","10.1","68.0","KAIROUAN, TS","  57.9","24","  41.4","24","1027.8"," 8","020.6"," 8","  7.3","22","  6.2","24","  9.9"," 22.9","  65.1"," ","  48.2","*"," 0.00","G","999.9","000000"
"60735099999","2015-01-06","35.6666667","10.1","68.0","KAIROUAN, TS","  53.3","22","  38.7","22","1027.7"," 8","020.1"," 8","  6.8","11","  1.6","22","  4.1","999.9","  68.5"," ","  42.1"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-07","35.6666667","10.1","68.0","KAIROUAN, TS","  51.8","24","  41.1","24","1030.7"," 8","023.1"," 8","  6.9","13","  0.2","24","  1.9","999.9","  64.9"," ","  41.0","*"," 0.00","G","999.9","000000"
"60735099999","2015-01-08","35.6666667","10.1","68.0","KAIROUAN, TS","  52.6","23","  41.9","23","1035.6"," 8","028.0"," 8","  6.5","17","  0.0","23","999.9","999.9","  67.1"," ","  41.0","*"," 0.00","G","999.9","000000"
"60735099999","2015-01-09","35.6666667","10.1","68.0","KAIROUAN, TS","  55.0","23","  42.8","23","1039.2"," 8","031.8"," 8","  6.2","20","  1.3","23","  4.1","999.9","  66.2","*","  43.5"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-10","35.6666667","10.1","68.0","KAIROUAN, TS","  59.3","22","  35.6","22","1031.4"," 8","024.1"," 8","  7.0","11","  1.9","22","  8.0"," 17.1","  76.3"," ","  46.4","*"," 0.00","G","999.9","000000"
"60735099999","2015-01-11","35.6666667","10.1","68.0","KAIROUAN, TS","  61.5","24","  30.7","24","1025.5"," 8","018.3"," 8","  8.4"," 8","  0.8","24","  4.1","999.9","  79.3"," ","  49.3"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-12","35.6666667","10.1","68.0","KAIROUAN, TS","  59.4","24","  42.3","24","1030.6"," 8","023.1"," 8","  8.5"," 8","  3.6","24","  8.0","999.9","  68.0","*","  50.0","*"," 0.00","G","999.9","000000"
"60735099999","2015-01-13","35.6666667","10.1","68.0","KAIROUAN, TS","  54.0","24","  40.5","24","1030.8"," 8","023.4"," 8","  7.8"," 8","  1.0","24","  4.1","999.9","  69.4"," ","  45.7"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-14","35.6666667","10.1","68.0","KAIROUAN, TS","  58.4","23","  36.6","23","1025.5"," 8","018.0"," 8","  7.4","12","  0.0","23","999.9","999.9","  77.7"," ","  46.9"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-15","35.6666667","10.1","68.0","KAIROUAN, TS","  58.3","24","  38.3","24","1025.0"," 8","017.7"," 8","  8.3","10","  0.2","24","  1.9","999.9","  73.8"," ","  46.0"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-16","35.6666667","10.1","68.0","KAIROUAN, TS","  59.9","24","  44.8","24","1019.9"," 8","012.7"," 8","  6.8","16","  1.6","24","  5.1"," 15.0","  73.4"," ","  51.1"," "," 0.02","G","999.9","010000"
"60735099999","2015-01-17","35.6666667","10.1","68.0","KAIROUAN, TS","  56.5","23","  45.7","23","1019.1"," 8","011.8"," 8","  7.1","15","  1.7","23","  6.0","999.9","  66.4"," ","  45.1"," "," 0.03","G","999.9","000000"
"60735099999","2015-01-18","35.6666667","10.1","68.0","KAIROUAN, TS","  51.0","23","  45.6","23","1016.6"," 8","009.4"," 8","  6.2","21","  1.7","23","  6.0","999.9","  59.5"," ","  44.6","*"," 0.00","G","999.9","010010"
"60735099999","2015-01-19","35.6666667","10.1","68.0","KAIROUAN, TS","  49.7","24","  42.7","24","1013.4"," 7","005.9"," 7","  5.9","23","  1.1","24","  4.1","999.9","  60.1"," ","  43.3"," "," 0.48","G","999.9","000000"
"60735099999","2015-01-20","35.6666667","10.1","68.0","KAIROUAN, TS","  52.5","24","  36.2","24","1009.3"," 7","001.8"," 7","  6.8","23","  1.3","24","  4.1","999.9","  65.8"," ","  44.1"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-21","35.6666667","10.1","68.0","KAIROUAN, TS","  52.2","24","  37.7","24","1011.8"," 8","004.3"," 8","  6.9","23","  1.6","24","  5.1","999.9","  66.4"," ","  42.3"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-22","35.6666667","10.1","68.0","KAIROUAN, TS","  52.2","22","  38.4","22","1008.2"," 8","000.9"," 8","  6.6","22","  2.1","22","  8.0","999.9","  62.2"," ","  42.1"," "," 0.00","G","999.9","000000"
"60735099999","2015-01-23","35.6666667","10.1","68.0","KAIROUAN, TS","  52.1","24","  38.6","24","1008.6"," 8","001.3"," 8","  6.5","24","  4.5","24","  8.0","999.9","  61.2"," ","  45.5"," "," 0.00","G","999.9","000000"
