"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60764099999","2003-01-01","33.7","8.9666666","46.0","KEBILI, TS","  52.2"," 4","  38.0"," 4","1022.8"," 4","017.5"," 4","  7.0"," 4","  5.1"," 4","  6.0","999.9","  65.5","*","  33.3"," "," 0.00","C","999.9","000000"
"60764099999","2003-01-02","33.7","8.9666666","46.0","KEBILI, TS","  53.8"," 4","  37.0"," 4","1024.9"," 4","019.7"," 4","  7.1"," 4","  4.6"," 4","  6.0","999.9","  66.6","*","  37.8"," "," 0.00","C","999.9","000000"
"60764099999","2003-01-03","33.7","8.9666666","46.0","KEBILI, TS","  56.7"," 5","  33.2"," 5","1022.2"," 5","017.0"," 5","  7.7"," 5","  5.2"," 5","  8.0","999.9","  69.3"," ","  39.4"," "," 0.00","D","999.9","000000"
"60764099999","2003-01-04","33.7","8.9666666","46.0","KEBILI, TS","  60.0"," 5","  34.8"," 5","1016.6"," 5","011.4"," 5","  8.0"," 5","  5.2"," 5","  6.0","999.9","  73.8"," ","  41.2"," "," 0.00","D","999.9","000000"
"60764099999","2003-01-05","33.7","8.9666666","46.0","KEBILI, TS","  55.7"," 5","  40.4"," 5","1014.7"," 5","009.4"," 5","  7.6"," 5","  5.2"," 5","  8.0","999.9","  68.4"," ","  36.7"," "," 0.00","D","999.9","000000"
"60764099999","2003-01-06","33.7","8.9666666","46.0","KEBILI, TS","  59.3"," 4","  37.5"," 4","1009.5"," 4","999.9"," 0","  6.4"," 4","  7.0"," 4","  8.0","999.9","  73.0","*","  41.2"," "," 0.00","C","999.9","000000"
"60764099999","2003-01-07","33.7","8.9666666","46.0","KEBILI, TS","  57.6"," 5","  40.1"," 5","1016.5"," 5","011.3"," 5","  6.5"," 5","  6.8"," 5","  8.0","999.9","  64.6"," ","  51.1"," "," 0.00","D","999.9","000000"
"60764099999","2003-01-08","33.7","8.9666666","46.0","KEBILI, TS","  53.6"," 4","  37.4"," 4","1016.0"," 4","010.8"," 4","  5.9"," 4","  1.5"," 4","  1.9","999.9","  68.2"," ","  36.1"," "," 0.00","D","999.9","000000"
"60764099999","2003-01-09","33.7","8.9666666","46.0","KEBILI, TS","  55.4"," 5","  38.2"," 5","1011.8"," 5","006.6"," 5","  5.2"," 5","  5.6"," 5"," 12.0","999.9","  64.6"," ","  42.1"," "," 0.00","D","999.9","000000"
"60764099999","2003-01-10","33.7","8.9666666","46.0","KEBILI, TS","  54.2"," 5","  41.4"," 5","1005.5"," 5","000.4"," 5","  3.9"," 5"," 15.2"," 5"," 28.9","999.9","  59.4"," ","  37.6"," "," 0.00","E","999.9","000000"
"60764099999","2003-01-11","33.7","8.9666666","46.0","KEBILI, TS","  50.0"," 5","  45.2"," 5","1003.5"," 5","996.3"," 5","  6.0"," 5"," 17.6"," 5"," 19.0","999.9","  57.6"," ","  43.9"," "," 0.02","G","999.9","010000"
"60764099999","2003-01-12","33.7","8.9666666","46.0","KEBILI, TS","  49.4"," 5","  42.4"," 5","1019.4"," 5","014.1"," 5","  7.0"," 5","  4.8"," 5","  6.0","999.9","  58.1"," ","  34.2"," "," 0.10","G","999.9","000000"
"60764099999","2003-01-13","33.7","8.9666666","46.0","KEBILI, TS","  54.3"," 4","  49.4"," 4","1022.3"," 4","017.1"," 4","  6.5"," 4"," 18.7"," 4"," 22.9","999.9","  58.3","*","  49.1"," "," 0.00","G","999.9","000000"
"60764099999","2003-01-14","33.7","8.9666666","46.0","KEBILI, TS","  53.2"," 5","  47.4"," 5","1029.6"," 5","024.3"," 5","  5.5"," 5"," 21.4"," 5"," 25.1","999.9","  57.0"," ","  48.4"," "," 0.06","G","999.9","000000"
"60764099999","2003-01-15","33.7","8.9666666","46.0","KEBILI, TS","  57.2"," 5","  49.3"," 5","1030.4"," 5","025.1"," 5","  6.5"," 5"," 18.8"," 5"," 21.0","999.9","  64.8"," ","  50.2"," "," 0.00","G","999.9","000000"
"60764099999","2003-01-16","33.7","8.9666666","46.0","KEBILI, TS","  58.9"," 5","  53.8"," 5","1024.2"," 5","017.0"," 5","  4.6"," 5"," 11.8"," 5"," 19.0","999.9","  66.0"," ","  55.9"," "," 0.04","E","999.9","010000"
"60764099999","2003-01-17","33.7","8.9666666","46.0","KEBILI, TS","  55.0"," 4","  47.3"," 4","1018.5"," 4","013.3"," 4","  6.5"," 4"," 13.0"," 4"," 15.9","999.9","  56.7","*","  53.2"," "," 0.42","G","999.9","000000"
