"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60720099999","2000-01-01","36.85","11.0833333","30.0","KELIBIA, TS","  47.7","15","  42.0","15","1023.5"," 8","019.8"," 8","  6.6","15","  3.2","15","  6.0","999.9","  51.8"," ","  41.9"," "," 0.00","G","999.9","010000"
"60720099999","2000-01-02","36.85","11.0833333","30.0","KELIBIA, TS","  49.4","16","  40.4","16","1025.0"," 8","021.3"," 8","  6.6","16","  4.2","16","  6.0","999.9","  56.1"," ","  41.9"," "," 0.00","G","999.9","000000"
"60720099999","2000-01-03","36.85","11.0833333","30.0","KELIBIA, TS","  50.5","17","  40.2","17","1026.7"," 7","023.0"," 7","  6.7","17","  5.3","17","  9.9","999.9","  55.2"," ","  44.8"," "," 0.02","G","999.9","000000"
"60720099999","2000-01-04","36.85","11.0833333","30.0","KELIBIA, TS","  51.2","17","  41.7","17","1027.7"," 8","024.0"," 8","  6.6","17","  2.9","17","  8.0","999.9","  59.0"," ","  43.2"," "," 0.02","G","999.9","000000"
"60720099999","2000-01-05","36.85","11.0833333","30.0","KELIBIA, TS","  52.9","17","  45.5","17","1024.7"," 8","021.0"," 8","  6.1","17","  4.5","17","  8.0","999.9","  59.0"," ","  45.1"," "," 0.02","G","999.9","000000"
"60720099999","2000-01-06","36.85","11.0833333","30.0","KELIBIA, TS","  54.5","15","  47.1","15","1024.0"," 6","020.4"," 6","  6.5","15","  1.9","15","  4.1","999.9","  59.0","*","  48.4"," "," 0.00","G","999.9","000000"
"60720099999","2000-01-07","36.85","11.0833333","30.0","KELIBIA, TS","  53.0","16","  48.5","16","1024.8"," 8","021.1"," 8","  6.0","16","  2.9","16","  6.0","999.9","  54.3","*","  51.8","*"," 0.00","E","999.9","000000"
"60720099999","2000-01-08","36.85","11.0833333","30.0","KELIBIA, TS","  55.1","16","  46.1","16","1024.5"," 8","021.2"," 8","  6.2","16","  1.1","16","  6.0","999.9","  62.4"," ","  48.2","*"," 0.00","D","999.9","000000"
"60720099999","2000-01-09","36.85","11.0833333","30.0","KELIBIA, TS","  54.7","16","  46.6","16","1023.0"," 6","019.3"," 6","  6.2","16","  1.0","16","  1.9","  4.1","  61.0"," ","  46.9","*"," 0.00","D","999.9","010000"
"60720099999","2000-01-10","36.85","11.0833333","30.0","KELIBIA, TS","  52.2","15","  48.1","15","1023.9"," 7","020.2"," 7","  6.0","15","  1.7","15","  6.0","  7.0","  56.3"," ","  48.6","*"," 0.39","G","999.9","000000"
"60720099999","2000-01-11","36.85","11.0833333","30.0","KELIBIA, TS","  54.3","17","  48.2","17","1027.3"," 7","023.6"," 7","  6.1","17","  2.1","17","  4.1","999.9","  59.9"," ","  47.5"," "," 0.00","G","999.9","010000"
"60720099999","2000-01-12","36.85","11.0833333","30.0","KELIBIA, TS","  51.3","16","  47.1","16","1025.2"," 8","021.6"," 8","  5.7","16","  1.5","16","  6.0","  8.0","  57.2"," ","  48.0"," "," 0.16","G","999.9","010000"
"60720099999","2000-01-13","36.85","11.0833333","30.0","KELIBIA, TS","  50.6","16","  45.7","16","1018.6"," 8","014.9"," 8","  5.9","16","  4.7","16","  6.0","999.9","  54.7"," ","  46.8"," "," 0.04","G","999.9","010000"
"60720099999","2000-01-14","36.85","11.0833333","30.0","KELIBIA, TS","  49.5","17","  44.6","17","1015.4"," 8","011.7"," 8","  6.2","17","  5.1","17","  8.0","999.9","  54.5"," ","  46.4","*"," 0.04","G","999.9","000000"
"60720099999","2000-01-15","36.85","11.0833333","30.0","KELIBIA, TS","  52.2","17","  45.9","17","1019.3"," 7","015.6"," 7","  6.1","17","  2.0","17","  4.1","999.9","  61.0"," ","  45.0"," "," 0.00","G","999.9","000000"
"60720099999","2000-01-16","36.85","11.0833333","30.0","KELIBIA, TS","  51.6","16","  45.2","16","1021.0"," 8","017.3"," 8","  6.0","16","  3.3","16","  8.0","999.9","  58.8"," ","  42.1"," "," 0.00","I","999.9","000000"
"60720099999","2000-01-17","36.85","11.0833333","30.0","KELIBIA, TS","  51.2"," 7","  44.9"," 7","1019.4"," 7","015.7"," 7","  5.7"," 7","  4.6"," 7","  8.0","  8.9","  55.4","*","  46.6"," "," 0.02","G","999.9","000000"
