"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60732099999","2003-01-01","36.1333333","8.7","518.0","LE KEF, TS","  50.1"," 5","  41.3"," 5","1021.1"," 5","959.8"," 5","  7.2"," 5"," 10.4"," 5"," 14.0","999.9","  55.0"," ","  43.7"," "," 0.15","G","999.9","000000"
"60732099999","2003-01-02","36.1333333","8.7","518.0","LE KEF, TS","  55.0"," 4","  42.9"," 4","1022.1"," 4","961.4"," 4","  9.3"," 4","  6.5"," 4","  9.9","999.9","  62.8","*","  41.9"," "," 0.00","C","999.9","000000"
"60732099999","2003-01-03","36.1333333","8.7","518.0","LE KEF, TS","  59.0"," 5","  36.9"," 5","1019.7"," 5","959.5"," 5","  9.3"," 5","  7.6"," 5"," 12.0","999.9","  71.1"," ","  40.6"," "," 0.00","D","999.9","000000"
"60732099999","2003-01-04","36.1333333","8.7","518.0","LE KEF, TS","  50.3"," 4","  37.9"," 4","1017.2"," 4","956.2"," 4","  8.1"," 4","  2.5"," 4","  4.1","999.9","  67.5"," ","  37.4"," "," 0.00","D","999.9","000000"
"60732099999","2003-01-09","36.1333333","8.7","518.0","LE KEF, TS","  48.2"," 5","  40.2"," 5","1009.0"," 5","948.3"," 5","  6.0"," 5","  9.6"," 5"," 15.9","999.9","  53.4"," ","  45.0"," "," 0.11","G","999.9","000000"
"60732099999","2003-01-10","36.1333333","8.7","518.0","LE KEF, TS","  41.2"," 5","  37.0"," 5","1009.1"," 5","947.5"," 5","  5.2"," 5","  2.8"," 5","  6.0","999.9","  46.0"," ","  34.9"," "," 0.00","G","999.9","010000"
"60732099999","2003-01-11","36.1333333","8.7","518.0","LE KEF, TS","  44.7"," 5","  42.6"," 5","1001.7"," 5","941.0"," 5","  3.7"," 5"," 11.3"," 5"," 14.0","999.9","  46.0"," ","  41.9"," "," 2.28","G","999.9","010000"
"60732099999","2003-01-12","36.1333333","8.7","518.0","LE KEF, TS","  45.7"," 5","  38.5"," 5","1019.9"," 5","958.2"," 5","  6.7"," 5","  5.6"," 5","  8.0","999.9","  50.9"," ","  42.3"," "," 2.56","G","999.9","000000"
"60732099999","2003-01-13","36.1333333","8.7","518.0","LE KEF, TS","  43.7"," 5","  40.1"," 5","1026.1"," 5","963.8"," 5","  4.5"," 5","  3.2"," 5","  4.1","999.9","  49.5"," ","  38.1"," "," 0.00","G","999.9","000000"
"60732099999","2003-01-14","36.1333333","8.7","518.0","LE KEF, TS","  46.3"," 4","  38.3"," 4","1032.8"," 4","970.3"," 4","  5.3"," 4","  5.1"," 4","  6.0","999.9","  50.2"," ","  44.1","*"," 0.00","D","999.9","000000"
"60732099999","2003-01-15","36.1333333","8.7","518.0","LE KEF, TS","  44.8"," 5","  41.1"," 5","1033.5"," 5","970.8"," 5","  6.0"," 5","  4.8"," 5","  6.0","999.9","  50.9"," ","  36.1"," "," 0.00","D","999.9","000000"
"60732099999","2003-01-16","36.1333333","8.7","518.0","LE KEF, TS","  49.5"," 5","  47.9"," 5","1026.6"," 5","965.1"," 5","  5.3"," 5","  4.4"," 5","  8.0","999.9","  51.8"," ","  45.1"," "," 0.20","E","999.9","010000"
"60732099999","2003-01-17","36.1333333","8.7","518.0","LE KEF, TS","  54.1"," 4","  46.7"," 4","1012.6"," 4","952.3"," 4","  5.3"," 4"," 10.5"," 4"," 15.9","999.9","  56.3","*","  48.9"," "," 0.81","G","999.9","000000"
"60732099999","2003-01-18","36.1333333","8.7","518.0","LE KEF, TS","  48.1"," 5","  42.3"," 5","1022.2"," 5","960.6"," 5","  5.5"," 5","  8.8"," 5"," 12.0","999.9","  50.9"," ","  46.2","*"," 0.04","G","999.9","000000"
"60732099999","2003-01-19","36.1333333","8.7","518.0","LE KEF, TS","  48.3"," 5","  41.0"," 5","1021.5"," 5","960.2"," 5","  7.0"," 5","  5.2"," 5","  9.9","999.9","  57.7"," ","  38.3"," "," 0.09","G","999.9","000000"
"60732099999","2003-01-20","36.1333333","8.7","518.0","LE KEF, TS","  47.0"," 5","  39.7"," 5","1016.9"," 5","955.4"," 4","  5.0"," 5","  9.3"," 5"," 15.0","999.9","  50.5"," ","  42.1"," "," 0.00","G","999.9","010000"
"60732099999","2003-01-21","36.1333333","8.7","518.0","LE KEF, TS","  47.6"," 4","  39.6"," 4","1012.9"," 4","951.8"," 4","  7.0"," 4","  5.0"," 4","  8.0","999.9","  53.6"," ","  36.0"," "," 0.01","G","999.9","000000"
"60732099999","2003-01-22","36.1333333","8.7","518.0","LE KEF, TS","  50.1"," 5","  40.5"," 5","1015.9"," 5","955.0"," 5","  7.2"," 5","  6.2"," 5","  9.9","999.9","  57.6"," ","  41.5"," "," 0.00","G","999.9","000000"
"60732099999","2003-01-23","36.1333333","8.7","518.0","LE KEF, TS","  43.5"," 5","  40.5"," 5","1016.0"," 5","954.3"," 5","  4.7"," 5","  5.0"," 5","  9.9","999.9","  48.7"," ","  35.6"," "," 0.16","E","999.9","000000"
"60732099999","2003-01-24","36.1333333","8.7","518.0","LE KEF, TS","  42.7"," 5","  38.8"," 5","1015.6"," 5","953.8"," 5","  4.2"," 5","  8.9"," 5","  9.9","999.9","  47.5"," ","  40.1"," "," 0.63","E","999.9","010000"
"60732099999","2003-01-25","36.1333333","8.7","518.0","LE KEF, TS","  43.0"," 5","  40.1"," 5","1015.4"," 5","953.7"," 5","  3.7"," 5","  8.2"," 5"," 11.1","999.9","  45.3"," ","  40.3"," "," 0.55","E","999.9","010010"
"60732099999","2003-01-26","36.1333333","8.7","518.0","LE KEF, TS","  45.0"," 5","  41.6"," 5","1018.7"," 5","957.0"," 5","  4.5"," 5","  6.8"," 5","  9.9","999.9","  48.4"," ","  42.6"," "," 1.40","G","999.9","010000"
"60732099999","2003-01-27","36.1333333","8.7","518.0","LE KEF, TS","  47.1"," 4","  40.1"," 4","1022.0"," 4","960.3"," 4","  5.9"," 4","  7.0"," 4","  9.9","999.9","  51.6"," ","  39.2"," "," 0.28","G","999.9","000000"
"60732099999","2003-01-28","36.1333333","8.7","518.0","LE KEF, TS","  52.5"," 4","  44.6"," 4","1021.8"," 4","960.9"," 4","  6.7"," 4","  9.0"," 4"," 11.1","999.9","  57.6"," ","  49.8","*"," 0.00","G","999.9","000000"
"60732099999","2003-01-29","36.1333333","8.7","518.0","LE KEF, TS","  50.9"," 5","  42.3"," 5","1013.3"," 5","952.6"," 5","  6.5"," 5"," 10.5"," 5"," 18.1","999.9","  59.4"," ","  44.6"," "," 0.00","D","999.9","000000"
"60732099999","2003-01-30","36.1333333","8.7","518.0","LE KEF, TS","  43.3"," 5","  34.5"," 5","1011.1"," 5","949.6"," 5","  6.1"," 5","  6.4"," 5","  8.0","999.9","  48.7"," ","  37.2"," "," 0.00","E","999.9","000000"
"60732099999","2003-01-31","36.1333333","8.7","518.0","LE KEF, TS","  42.5"," 5","  29.9"," 5","1001.5"," 5","940.5"," 5","  5.7"," 5","  9.0"," 5"," 14.0","999.9","  48.6"," ","  35.4"," "," 0.01","G","999.9","000000"
"60732099999","2003-02-01","36.1333333","8.7","518.0","LE KEF, TS","  38.0"," 5","  33.4"," 5","1013.2"," 5","951.0"," 5","  3.7"," 5"," 13.9"," 5"," 16.9","999.9","  41.9"," ","  32.9"," "," 0.13","G","999.9","010010"
"60732099999","2003-02-02","36.1333333","8.7","518.0","LE KEF, TS","  42.0"," 5","  35.7"," 5","1021.6"," 5","959.4"," 5","  6.6"," 5"," 12.0"," 5"," 15.9","999.9","  49.6"," ","  34.7"," "," 0.31","G","999.9","000000"
"60732099999","2003-02-03","36.1333333","8.7","518.0","LE KEF, TS","  48.0"," 5","  39.3"," 5","1023.0"," 5","961.4"," 5","  7.5"," 5","  8.2"," 5"," 11.1","999.9","  55.4"," ","  38.7"," "," 0.01","G","999.9","000000"
"60732099999","2003-02-04","36.1333333","8.7","518.0","LE KEF, TS","  52.3"," 5","  37.1"," 5","1008.6"," 5","948.3"," 5","  7.5"," 5"," 14.6"," 5"," 22.0","999.9","  61.0"," ","  38.3"," "," 0.00","G","999.9","000000"
"60732099999","2003-02-05","36.1333333","8.7","518.0","LE KEF, TS","  42.3"," 4","  31.2"," 4","1012.0"," 4","950.3"," 4","  5.6"," 4","  9.5"," 4"," 12.0","999.9","  48.4"," ","  39.4"," "," 0.06","G","999.9","000000"
"60732099999","2003-02-06","36.1333333","8.7","518.0","LE KEF, TS","  41.4"," 5","  31.9"," 5","1015.7"," 5","953.7"," 5","  5.0"," 5"," 11.2"," 5"," 18.1","999.9","  45.9"," ","  33.6"," "," 0.05","G","999.9","010000"
"60732099999","2003-02-07","36.1333333","8.7","518.0","LE KEF, TS","  41.8"," 5","  35.0"," 5","1025.2"," 4","962.7"," 4","  6.0"," 5","  4.0"," 5","  6.0","999.9","  46.2","*","  34.7"," "," 0.17","G","999.9","000000"
"60732099999","2003-02-08","36.1333333","8.7","518.0","LE KEF, TS","  43.9"," 5","  33.3"," 5","1021.5"," 5","959.4"," 5","  8.5"," 5","  3.4"," 5","  4.1","999.9","  54.9"," ","  33.1"," "," 0.01","G","999.9","000000"
"60732099999","2003-02-09","36.1333333","8.7","518.0","LE KEF, TS","  44.2"," 5","  36.4"," 5","1019.5"," 5","957.6"," 5","  7.8"," 5","  3.6"," 5","  6.0","999.9","  50.2"," ","  33.1","*"," 0.00","G","999.9","000000"
"60732099999","2003-02-10","36.1333333","8.7","518.0","LE KEF, TS","  43.7"," 5","  38.5"," 5","1016.9"," 5","955.1"," 5","  5.2"," 5","  4.4"," 5","  9.9","999.9","  47.3"," ","  37.9"," "," 0.08","E","999.9","010000"
"60732099999","2003-02-11","36.1333333","8.7","518.0","LE KEF, TS","  43.3"," 5","  38.7"," 5","1022.2"," 5","960.1"," 5","  5.7"," 5","  3.6"," 5","  6.0","999.9","  48.6"," ","  37.9"," "," 0.08","E","999.9","000000"
"60732099999","2003-02-12","36.1333333","8.7","518.0","LE KEF, TS","  46.6"," 6","  37.2"," 6","1020.7"," 5","959.0"," 5","  7.4"," 6","  7.5"," 6","  9.9","999.9","  55.4"," ","  35.2"," "," 0.00","D","999.9","000000"
"60732099999","2003-02-13","36.1333333","8.7","518.0","LE KEF, TS","  43.2"," 6","  40.5"," 6","1016.1"," 5","954.4"," 5","  4.1"," 6","  3.0"," 6","  5.1","999.9","  46.4"," ","  40.1"," "," 0.05","G","999.9","010000"
"60732099999","2003-02-14","36.1333333","8.7","518.0","LE KEF, TS","  44.3"," 6","  40.0"," 6","1017.8"," 6","956.0"," 6","  6.1"," 6","  5.0"," 6","  8.0","999.9","  50.4"," ","  40.6"," "," 0.62","G","999.9","000000"
"60732099999","2003-02-15","36.1333333","8.7","518.0","LE KEF, TS","  42.3"," 5","  39.1"," 5","1018.6"," 5","956.5"," 5","  3.0"," 5","  4.6"," 5","  8.9","999.9","  50.2"," ","  35.2"," "," 0.02","G","999.9","110000"
"60732099999","2003-02-16","36.1333333","8.7","518.0","LE KEF, TS","  44.1"," 5","  37.8"," 5","1017.5"," 4","956.0"," 4","  5.7"," 5","  4.4"," 5","  8.0","999.9","  51.4"," ","  37.2","*"," 0.00","G","999.9","000000"
"60732099999","2003-02-21","36.1333333","8.7","518.0","LE KEF, TS","  48.7"," 4","  42.4"," 4","1016.3"," 4","955.2"," 4","  6.2"," 4","  4.4"," 4"," 28.0","999.9","  59.0"," ","  41.7"," "," 0.02","G","999.9","000000"
"60732099999","2003-02-22","36.1333333","8.7","518.0","LE KEF, TS","  48.0"," 4","  40.7"," 4","1022.1"," 4","960.5"," 4","  5.9"," 4","  3.4"," 4","  7.0","999.9","  58.1"," ","  36.1"," "," 0.00","G","999.9","000000"
"60732099999","2003-02-24","36.1333333","8.7","518.0","LE KEF, TS","  53.4"," 5","  45.0"," 5","1024.1"," 5","963.1"," 5","  6.6"," 5","  8.0"," 5","  9.9","999.9","  61.7"," ","  45.1"," "," 0.00","D","999.9","000000"
"60732099999","2003-02-25","36.1333333","8.7","518.0","LE KEF, TS","  53.7"," 5","  40.8"," 5","1019.1"," 5","958.4"," 5","  6.6"," 5"," 10.8"," 5"," 15.9","999.9","  61.0"," ","  44.1"," "," 0.00","D","999.9","000000"
"60732099999","2003-02-26","36.1333333","8.7","518.0","LE KEF, TS","  53.5"," 5","  44.1"," 5","1015.6"," 5","955.1"," 5","  6.8"," 5","  9.6"," 5"," 14.0","999.9","  59.4"," ","  45.0"," "," 0.00","D","999.9","000000"
"60732099999","2003-02-27","36.1333333","8.7","518.0","LE KEF, TS","  54.8"," 5","  46.0"," 5","1014.0"," 5","953.8"," 5","  7.5"," 5","  4.5"," 5","  8.0","999.9","  63.3"," ","  44.1"," "," 0.00","D","999.9","000000"
"60732099999","2003-02-28","36.1333333","8.7","518.0","LE KEF, TS","  49.7"," 5","  46.4"," 5","1021.4"," 5","960.1"," 5","  3.7"," 5","  9.2"," 5"," 14.0","999.9","  52.5"," ","  47.1"," "," 0.82","G","999.9","010000"
