"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60770099999","2008-01-01","33.35","10.4833333","117.0","MEDENINE, TS","  52.6"," 5","  46.9"," 5","1019.5"," 5","005.3"," 5","  9.1"," 5","  6.0"," 5","  8.0","999.9","  56.7","*","  47.3"," "," 0.02","G","999.9","010000"
"60770099999","2008-01-02","33.35","10.4833333","117.0","MEDENINE, TS","  53.7"," 5","  43.7"," 5","1021.4"," 5","007.4"," 5"," 14.3"," 5","  6.8"," 5","  9.9","999.9","  59.0"," ","  45.1"," "," 0.01","G","999.9","000000"
"60770099999","2008-01-03","33.35","10.4833333","117.0","MEDENINE, TS","  57.9"," 5","  37.8"," 5","1015.6"," 5","001.6"," 5","  7.1"," 5"," 10.0"," 5"," 14.0","999.9","  63.3"," ","  46.4"," "," 0.00","G","999.9","000000"
"60770099999","2008-01-04","33.35","10.4833333","117.0","MEDENINE, TS","  60.9"," 5","  39.1"," 5","1011.9"," 5","998.0"," 5"," 13.9"," 5","  4.9"," 5","  6.0","999.9","  69.1"," ","  50.0"," "," 0.00","G","999.9","000000"
"60770099999","2008-01-05","33.35","10.4833333","117.0","MEDENINE, TS","  54.8"," 4","  45.9"," 4","1017.0"," 4","002.9"," 4"," 12.4"," 4","  1.0"," 4","  1.9","999.9","  59.7","*","  48.2"," "," 0.00","G","999.9","000000"
"60770099999","2008-01-06","33.35","10.4833333","117.0","MEDENINE, TS","  57.5"," 5","  53.8"," 5","1022.8"," 5","008.7"," 5","  3.2"," 5","  1.6"," 5","  4.1","999.9","  63.7"," ","  48.2"," "," 0.00","G","999.9","100000"
"60770099999","2008-01-07","33.35","10.4833333","117.0","MEDENINE, TS","  58.8"," 5","  54.2"," 5","1023.8"," 5","009.7"," 5","  4.0"," 5","  3.6"," 5","  8.0","999.9","  63.9"," ","  51.8"," "," 0.00","G","999.9","000000"
"60770099999","2008-01-08","33.35","10.4833333","117.0","MEDENINE, TS","  57.3"," 5","  54.4"," 5","1021.6"," 5","007.5"," 5","  3.4"," 5","  4.8"," 5","  8.0","999.9","  60.1"," ","  53.2"," "," 0.00","G","999.9","000000"
"60770099999","2008-01-09","33.35","10.4833333","117.0","MEDENINE, TS","  57.2"," 5","  54.0"," 5","1021.5"," 5","007.4"," 5","  3.5"," 5","  6.4"," 5","  8.0","999.9","  59.9"," ","  54.1"," "," 0.00","G","999.9","010000"
"60770099999","2008-01-10","33.35","10.4833333","117.0","MEDENINE, TS","  58.8"," 5","  55.3"," 5","1024.1"," 5","010.0"," 5","  3.1"," 5","  3.6"," 5","  6.0","999.9","  62.8"," ","  52.0"," "," 0.00","G","999.9","000000"
"60770099999","2008-01-11","33.35","10.4833333","117.0","MEDENINE, TS","  58.5"," 5","  54.0"," 5","1023.3"," 5","009.3"," 5","  2.8"," 5","  0.4"," 5","  1.9","999.9","  65.7"," ","  50.9"," "," 0.11","G","999.9","110000"
"60770099999","2008-01-12","33.35","10.4833333","117.0","MEDENINE, TS","  57.6"," 5","  50.5"," 5","1021.3"," 5","007.2"," 5","  6.3"," 5","  4.4"," 5","  8.0","999.9","  64.8"," ","  48.0"," "," 0.10","G","999.9","000000"
