"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60740099999","2007-01-01","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  52.5"," 8","  42.6"," 8","1038.1"," 8","037.9"," 8","  5.4"," 8","  6.3"," 8"," 12.0","999.9","  64.2"," ","  43.3","*"," 0.00","G","999.9","000000"
"60740099999","2007-01-02","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  53.8"," 8","  42.9"," 8","1031.0"," 8","030.8"," 8","  5.7"," 8","  8.7"," 8"," 14.0","999.9","  64.4"," ","  44.4","*"," 0.00","G","999.9","000000"
"60740099999","2007-01-03","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  55.5"," 7","  43.2"," 7","1028.7"," 7","028.5"," 7","  6.9"," 7"," 15.4"," 7"," 21.0","999.9","  60.6"," ","  53.1","*"," 0.03","E","999.9","010000"
"60740099999","2007-01-04","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  54.3"," 8","  42.6"," 8","1029.5"," 8","029.3"," 8","  7.4"," 8","  6.5"," 8","  9.9","999.9","  61.3"," ","  47.8"," "," 0.00","E","999.9","000000"
"60740099999","2007-01-05","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  56.1"," 7","  45.2"," 7","1024.6"," 7","024.4"," 7","  7.3"," 7","  9.2"," 7"," 16.9","999.9","  65.1"," ","  45.7"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-06","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  58.3"," 8","  47.9"," 8","1028.8"," 8","028.7"," 8","  7.0"," 8","  7.0"," 8","  9.9","999.9","  63.9"," ","  52.9","*"," 0.00","G","999.9","000000"
"60740099999","2007-01-07","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  57.6"," 8","  48.2"," 8","1028.7"," 8","028.5"," 8","  6.3"," 8","  4.0"," 8","  8.0","999.9","  67.6"," ","  51.6"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-08","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  54.8"," 8","  45.9"," 8","1025.4"," 8","025.2"," 8","  5.9"," 8","  3.5"," 8","  6.0","999.9","  64.0"," ","  45.7","*"," 0.00","G","999.9","000000"
"60740099999","2007-01-09","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  56.9"," 8","  49.8"," 8","1026.0"," 8","025.8"," 8","  5.7"," 8","  7.7"," 8"," 15.9","999.9","  65.3"," ","  48.2","*"," 0.04","G","999.9","010000"
"60740099999","2007-01-10","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  58.1"," 8","  52.1"," 8","1029.3"," 8","029.1"," 8","  6.0"," 8","  4.7"," 8","  8.0","999.9","  64.4"," ","  53.6"," "," 0.05","G","999.9","000000"
"60740099999","2007-01-11","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  57.6"," 8","  49.6"," 8","1030.7"," 8","030.5"," 8","  5.5"," 8","  3.8"," 8","  6.0","999.9","  70.0"," ","  29.7"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-12","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  60.9"," 8","  49.9"," 8","1028.2"," 8","028.0"," 8","  6.7"," 8"," 11.8"," 8"," 19.0","999.9","  65.7"," ","  53.8"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-13","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  61.2"," 8","  52.4"," 8","1028.8"," 8","028.6"," 8","  6.4"," 8"," 10.8"," 8"," 16.9","999.9","  65.3"," ","  53.8"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-14","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  57.6"," 8","  50.7"," 8","1029.7"," 8","029.5"," 8","  5.0"," 8","  3.5"," 8","  6.0","999.9","  68.7"," ","  47.8","*"," 0.00","G","999.9","000000"
"60740099999","2007-01-15","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  55.5"," 8","  50.2"," 8","1027.8"," 8","027.6"," 8","  5.1"," 8","  2.3"," 8","  6.0","999.9","  65.1"," ","  45.9"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-16","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  56.1"," 8","  45.6"," 8","1027.0"," 8","026.8"," 8","  4.9"," 8","  6.3"," 8"," 14.0","999.9","  70.2"," ","  45.0"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-17","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  55.6"," 8","  49.5"," 8","1029.0"," 8","028.8"," 8","  5.1"," 8","  4.3"," 8","  6.0","999.9","  63.9"," ","  48.9"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-18","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  57.0"," 8","  50.6"," 8","1031.9"," 8","031.7"," 8","  4.7"," 8","  3.7"," 8","  9.9","999.9","  64.9","*","  49.1"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-19","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  58.3"," 8","  46.3"," 8","1028.4"," 8","028.1"," 8","  6.0"," 8","  8.7"," 8"," 14.0","999.9","  69.1"," ","  47.8","*"," 0.00","G","999.9","000000"
"60740099999","2007-01-20","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  61.0"," 8","  51.4"," 8","1026.2"," 8","026.1"," 8","  5.9"," 8","  6.3"," 8","  8.0","999.9","  68.0","*","  53.2","*"," 0.00","G","999.9","000000"
"60740099999","2007-01-21","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  58.6"," 8","  49.8"," 8","1022.9"," 8","022.7"," 8","  5.0"," 8","  3.3"," 8","  6.0","999.9","  72.7"," ","  48.6"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-22","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  60.4"," 7","  43.1"," 7","1015.9"," 7","015.7"," 7","  7.4"," 7","  9.7"," 7"," 15.9","999.9","  72.1"," ","  49.5"," "," 0.00","G","999.9","000000"
"60740099999","2007-01-23","35.6666666","10.75","2.0","MONASTIR SKANES, TS","  62.6"," 8","  39.4"," 8","1011.4"," 8","011.2"," 8","  7.0"," 8"," 11.6"," 8"," 16.9","999.9","  74.5"," ","  54.3"," "," 0.00","G","999.9","000000"
