"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60728099999","1995-01-01","36.4666666","10.7","78.0","NABEUL, TS","  66.7"," 5","  50.5"," 5","1010.6"," 5","010.2"," 5","  8.7"," 5","  6.8"," 5"," 12.0","999.9","  76.6"," ","  54.5"," "," 0.00","D","999.9","000000"
"60728099999","1995-01-02","36.4666666","10.7","78.0","NABEUL, TS","  55.6"," 4","  36.0"," 4","1015.6"," 4","015.2"," 4","  7.0"," 4"," 12.7"," 4"," 19.0","999.9","  58.1"," ","  52.9","*"," 0.00","D","999.9","000000"
"60728099999","1995-01-03","36.4666666","10.7","78.0","NABEUL, TS","  44.8"," 6","  36.6"," 6","1015.7"," 6","015.3"," 6","  6.8"," 6"," 10.7"," 6"," 14.0","999.9","  52.9"," ","  41.9","*"," 0.04","G","999.9","010000"
"60728099999","1995-01-04","36.4666666","10.7","78.0","NABEUL, TS","  46.2"," 6","  34.2"," 6","1016.5"," 6","016.1"," 6","  8.3"," 6","  6.7"," 6","  8.0","999.9","  52.2","*","  39.9"," "," 0.20","G","999.9","000000"
"60728099999","1995-01-05","36.4666666","10.7","78.0","NABEUL, TS","  45.7"," 7","  33.8"," 7","1017.7"," 7","017.3"," 7","  7.7"," 7","  5.4"," 7","  9.9","999.9","  52.0"," ","  38.3"," "," 0.04","G","999.9","000000"
"60728099999","1995-01-06","36.4666666","10.7","78.0","NABEUL, TS","  50.2"," 7","  34.6"," 7","1018.6"," 7","018.2"," 7","  7.6"," 6","  5.4"," 7","  9.9","999.9","  54.7"," ","  42.6","*"," 0.00","G","999.9","010000"
"60728099999","1995-01-07","36.4666666","10.7","78.0","NABEUL, TS","  51.2"," 7","  42.9"," 7","1015.2"," 7","014.8"," 7","  6.0"," 7","  4.8"," 7","  8.0","999.9","  55.4","*","  46.8"," "," 0.02","C","999.9","010000"
"60728099999","1995-01-08","36.4666666","10.7","78.0","NABEUL, TS","  49.9"," 5","  45.1"," 5","1016.4"," 5","016.0"," 5","  6.2"," 5","  9.6"," 5"," 15.9","999.9","  51.8"," ","  47.5","*"," 0.20","G","999.9","010000"
"60728099999","1995-01-09","36.4666666","10.7","78.0","NABEUL, TS","  48.3"," 6","  42.4"," 6","1017.2"," 6","016.8"," 6","  6.7"," 6","  8.9"," 6"," 16.9","999.9","  52.0"," ","  45.9","*"," 0.31","G","999.9","010000"
"60728099999","1995-01-10","36.4666666","10.7","78.0","NABEUL, TS","  52.2"," 4","  42.3"," 4","1016.8"," 4","016.3"," 4","  6.2"," 4","  7.5"," 4","  9.9","999.9","  57.7"," ","  47.1","*"," 0.00","G","999.9","000000"
