"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60760099999","2001-01-01","33.939722","8.110556","87.47","NEFTA, TS","  50.2","23","  28.8","23","1022.0"," 8","011.4"," 8","  6.0","18","  4.6","23","  8.0","999.9","  57.4","*","  39.4"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-02","33.939722","8.110556","87.47","NEFTA, TS","  51.3","22","  25.3","22","1021.7"," 8","011.1"," 8","  6.2","13","  5.7","22","  9.9","999.9","  61.3"," ","  42.3"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-03","33.939722","8.110556","87.47","NEFTA, TS","  50.5","23","  27.8","23","1023.2"," 8","012.5"," 8","  5.9","18","  4.0","23","  8.0","999.9","  63.7"," ","  34.3"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-04","33.939722","8.110556","87.47","NEFTA, TS","  55.8","21","  32.3","21","1023.5"," 7","012.9"," 7","  6.4","21","  5.2","21","  8.0","999.9","  68.0","*","  36.7"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-05","33.939722","8.110556","87.47","NEFTA, TS","  55.0","22","  35.9","22","1023.3"," 8","012.5"," 7","  6.0","22","  4.2","22"," 12.0","999.9","  67.5"," ","  43.7"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-06","33.939722","8.110556","87.47","NEFTA, TS","  59.0","23","  32.5","23","1019.8"," 7","009.3"," 7","  6.2","23","  3.1","23","  6.0","  8.0","  71.8"," ","  46.4","*"," 0.00","I","999.9","000000"
"60760099999","2001-01-07","33.939722","8.110556","87.47","NEFTA, TS","  54.3","23","  28.5","23","1015.8"," 7","005.3"," 7","  6.1","23","  6.4","23"," 12.0","999.9","  61.5"," ","  43.2"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-08","33.939722","8.110556","87.47","NEFTA, TS","  52.9","23","  35.1","23","1017.9"," 8","007.8"," 7","  5.8","23","  7.0","23"," 14.0","999.9","  64.9"," ","  41.7"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-09","33.939722","8.110556","87.47","NEFTA, TS","  52.7","22","  32.8","22","1025.1"," 8","014.5"," 8","  6.6","22","  5.6","22","  9.9","999.9","  62.6"," ","  41.0"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-10","33.939722","8.110556","87.47","NEFTA, TS","  51.3","23","  31.3","23","1025.5"," 7","014.9"," 7","  6.2","23","  3.4","23","  8.0","999.9","  61.0"," ","  41.0","*"," 0.00","I","999.9","000000"
"60760099999","2001-01-11","33.939722","8.110556","87.47","NEFTA, TS","  50.7","23","  27.8","23","1022.6"," 8","011.9"," 8","  6.0","23","  3.9","23","  8.0","999.9","  61.0"," ","  39.2"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-12","33.939722","8.110556","87.47","NEFTA, TS","  52.4","24","  25.9","24","1015.1"," 8","004.5"," 8","  6.2","24","  3.3","24","  6.0","  8.0","  60.6"," ","  42.6"," "," 0.00","I","999.9","000000"
"60760099999","2001-01-13","33.939722","8.110556","87.47","NEFTA, TS","  51.9","22","  36.9","22","1007.9"," 7","997.5"," 7","  6.4","22","  8.3","22"," 16.9","999.9","  59.0"," ","  43.3"," ","99.99"," ","999.9","010000"
"60760099999","2001-01-14","33.939722","8.110556","87.47","NEFTA, TS","  56.6","21","  43.4","21","1009.4"," 7","998.9"," 7","  6.3","21","  8.5","21"," 12.0","999.9","  67.3"," ","  45.5"," "," 0.00","G","999.9","000000"
"60760099999","2001-01-15","33.939722","8.110556","87.47","NEFTA, TS","  55.4","23","  43.2","23","1017.0"," 8","006.5"," 8","  6.1","23","  5.1","23","  6.0","999.9","  61.2"," ","  48.7"," "," 0.00","I","999.9","000000"
