"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60775099999","2006-01-01","32.306156","10.382108","306.01","REMADA, TS","  53.6","12","  41.3","12","1022.2"," 4","986.0"," 4","  7.5","12","  8.6","12"," 12.0","999.9","  59.0","*","  42.8","*"," 0.00","G","999.9","000000"
"60775099999","2006-01-02","32.306156","10.382108","306.01","REMADA, TS","  54.9","12","  42.0","12","1019.0"," 4","983.0"," 4","  7.8","12","  8.8","12","  9.9","999.9","  60.8","*","  47.1"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-03","32.306156","10.382108","306.01","REMADA, TS","  51.2","12","  34.7","12","1017.3"," 5","981.3"," 5","  7.7","12","  6.7","12","  9.9","999.9","  58.3"," ","  42.6"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-04","32.306156","10.382108","306.01","REMADA, TS","  49.9","13","  32.0","13","1015.8"," 5","979.9"," 5","  7.4","13","  7.4","13","  9.9","999.9","  56.1"," ","  40.8"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-05","32.306156","10.382108","306.01","REMADA, TS","  48.9","13","  29.5","13","1016.6"," 5","980.4"," 5","  7.5","13"," 10.2","13"," 12.0","999.9","  54.0"," ","  40.3"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-06","32.306156","10.382108","306.01","REMADA, TS","  51.3","13","  27.6","13","1021.5"," 5","984.4"," 5","  7.4","13","  4.8","13","  8.2","999.9","  64.4","*","  40.1"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-07","32.306156","10.382108","306.01","REMADA, TS","  49.2","12","  27.9","12","1019.5"," 5","983.1"," 5","  7.5","12","  5.5","12","  9.9","999.9","  55.4","*","  35.2"," "," 0.00","E","999.9","000000"
"60775099999","2006-01-08","32.306156","10.382108","306.01","REMADA, TS","  55.7","13","  29.2","13","1010.6"," 5","975.0"," 5","  4.1","12"," 12.4","13"," 22.9","999.9","  64.4","*","  38.3"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-09","32.306156","10.382108","306.01","REMADA, TS","  49.3","13","  34.9","13","1015.9"," 5","979.8"," 5","  5.3","13","  9.0","13"," 12.0","999.9","  55.4"," ","  41.0"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-10","32.306156","10.382108","306.01","REMADA, TS","  53.8","12","  45.0","12","1022.1"," 4","986.1"," 4","  6.1","12","  8.2","12"," 14.0","999.9","  57.2","*","  44.4"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-11","32.306156","10.382108","306.01","REMADA, TS","  51.6","13","  41.6","13","1024.3"," 5","987.9"," 5","  6.0","13","  6.1","13","  9.9","999.9","  55.4"," ","  44.8"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-12","32.306156","10.382108","306.01","REMADA, TS","  49.5","13","  35.4","13","1026.8"," 5","990.2"," 5","  7.8","13","  5.7","13","  8.0","999.9","  55.4","*","  41.0"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-13","32.306156","10.382108","306.01","REMADA, TS","  48.9","13","  36.4","13","1026.9"," 5","990.6"," 5","  7.9","13","  3.6","13","  4.1","999.9","  54.9"," ","  39.6"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-14","32.306156","10.382108","306.01","REMADA, TS","  50.3","13","  30.2","13","1025.6"," 5","989.1"," 5","  7.9","13","  2.9","13","  6.0","999.9","  56.3"," ","  38.3"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-15","32.306156","10.382108","306.01","REMADA, TS","  49.6","13","  29.0","13","1023.2"," 5","986.8"," 5"," 10.3","13","  4.0","13","  6.0","999.9","  54.1"," ","  38.3"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-16","32.306156","10.382108","306.01","REMADA, TS","  49.5","12","  30.8","12","9999.9"," 0","999.9"," 0","  8.9","12","  3.2","12","  6.0","999.9","  55.4","*","  39.2"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-17","32.306156","10.382108","306.01","REMADA, TS","  50.2","13","  28.3","13","1024.1"," 5","987.7"," 5","  7.9","13","  3.1","13","  6.0","999.9","  56.1"," ","  37.4"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-18","32.306156","10.382108","306.01","REMADA, TS","  50.4","12","  39.4","12","1021.2"," 4","984.8"," 4","  9.3","12","  3.9","12","  6.0","999.9","  57.4","*","  39.2"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-19","32.306156","10.382108","306.01","REMADA, TS","  51.8","12","  48.4","12","1015.3"," 5","979.3"," 5","  4.2","12","  3.7","12","  6.0","999.9","  55.4","*","  46.4"," "," 0.00","G","999.9","010000"
"60775099999","2006-01-20","32.306156","10.382108","306.01","REMADA, TS","  58.2","12","  41.3","12","1017.9"," 7","982.4"," 7","  7.2","12","  4.0","12","  6.0","999.9","  64.4","*","  44.6","*"," 0.00","E","999.9","000000"
"60775099999","2006-01-21","32.306156","10.382108","306.01","REMADA, TS","  52.3","13","  42.6","13","1018.1"," 5","982.1"," 5","  6.1","13","  2.8","13","  6.0","999.9","  55.4"," ","  45.5"," "," 0.00","G","999.9","010000"
"60775099999","2006-01-22","32.306156","10.382108","306.01","REMADA, TS","  54.9","13","  45.8","13","1018.7"," 8","982.8"," 8","  6.6","13","  6.3","13","  8.0","999.9","  60.3"," ","  45.1"," "," 0.04","G","999.9","000000"
"60775099999","2006-01-23","32.306156","10.382108","306.01","REMADA, TS","  51.9","13","  40.1","13","1018.6","12","982.5","12","  7.9","13","  6.6","13","  9.9","999.9","  55.6"," ","  45.7"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-24","32.306156","10.382108","306.01","REMADA, TS","  48.3","13","  30.8","13","1021.3","10","985.0","10","  7.9","13","  9.0","13"," 12.0","999.9","  52.5"," ","  39.9"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-25","32.306156","10.382108","306.01","REMADA, TS","  46.4","13","  28.7","13","1022.9"," 9","986.2"," 9","  7.6","13","  5.1","13","  8.0","999.9","  52.7"," ","  35.8"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-26","32.306156","10.382108","306.01","REMADA, TS","  48.9","13","  30.0","13","1017.1","11","981.0","11","  7.6","13","  3.7","13","  6.0","999.9","  55.8"," ","  36.0"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-27","32.306156","10.382108","306.01","REMADA, TS","  53.9","13","  28.7","13","1018.6","13","982.7","13","  9.8","13","  7.2","13"," 12.0","999.9","  61.3"," ","  41.0"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-28","32.306156","10.382108","306.01","REMADA, TS","  61.4","12","  33.4","12","1018.1","12","982.7","12","  8.5","12","  5.6","12","  9.9","999.9","  70.9"," ","  41.2"," "," 0.00","G","999.9","000000"
"60775099999","2006-01-29","32.306156","10.382108","306.01","REMADA, TS","  64.8","11","  40.6","11","1011.6"," 9","976.7"," 9","  5.6"," 9"," 13.3","11"," 45.8","999.9","  75.2"," ","  46.9"," "," 0.00","G","999.9","010000"
"60775099999","2006-01-30","32.306156","10.382108","306.01","REMADA, TS","  59.2","13","  50.1","13","1006.6"," 6","971.4"," 6","  5.5","13"," 13.2","13"," 16.9","999.9","  64.4","*","  51.3","*"," 0.14","G","999.9","010010"
"60775099999","2006-01-31","32.306156","10.382108","306.01","REMADA, TS","  50.6","13","  46.9","13","1005.0","10","969.3","10","  6.0","13","  8.1","13"," 14.0","999.9","  53.1"," ","  47.3","*"," 0.21","G","999.9","010000"
