"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60714099999","2000-01-01","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  48.9","14","  42.9","13","1024.4"," 8","023.8"," 8","  7.6","14","  5.2","14","999.9","999.9","  55.6"," ","  41.2"," "," 0.08","G","999.9","010000"
"60714099999","2000-01-02","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  49.8","17","  42.1","17","1026.2"," 8","025.5"," 8","  7.8","17","  4.5","17","  8.0","999.9","  58.1"," ","  40.8","*"," 0.08","G","999.9","010000"
"60714099999","2000-01-03","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  49.2","16","  42.0","16","1028.3"," 6","027.6"," 6","  6.8","16","  6.1","16"," 12.0","999.9","  56.7"," ","  38.5"," "," 0.00","G","999.9","010000"
"60714099999","2000-01-04","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  48.8","17","  40.9","17","1029.1"," 8","028.4"," 8","  8.3","17","  5.1","17","  9.9","999.9","  58.8"," ","  35.4"," "," 0.02","G","999.9","000000"
"60714099999","2000-01-05","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  52.2","17","  43.8","17","1025.9"," 8","025.2"," 8","  7.5","17","  7.7","17"," 13.0","999.9","  59.2"," ","  40.1","*"," 0.00","G","999.9","000000"
"60714099999","2000-01-06","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  50.1","15","  45.5","15","1024.6"," 6","023.9"," 6","  7.7","15","  1.7","15","  4.1","999.9","  57.2","*","  41.4"," "," 0.00","D","999.9","000000"
"60714099999","2000-01-07","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  50.8","16","  43.9","16","1025.5"," 8","024.8"," 8","  7.6","16","  3.8","16","  9.9","999.9","  59.0"," ","  36.1"," "," 0.00","D","999.9","000000"
"60714099999","2000-01-08","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  54.4","15","  46.3","15","1024.7"," 8","023.7"," 8","  7.5","15","  2.9","15","  6.0","999.9","  61.9"," ","  47.3"," "," 0.00","D","999.9","000000"
"60714099999","2000-01-09","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  52.1","16","  43.6","16","1023.1"," 6","022.4"," 6","  7.2","16","  4.1","16","  6.0","999.9","  60.8"," ","  42.8","*"," 0.00","D","999.9","000000"
"60714099999","2000-01-10","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  49.5","15","  44.9","15","1024.9"," 7","024.2"," 7","  6.6","15","  3.7","15","  7.0","  8.0","  59.2"," ","  37.9"," "," 0.02","E","999.9","010000"
"60714099999","2000-01-11","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  51.5","17","  45.8","17","1028.6"," 7","027.9"," 7","  7.0","17","  4.1","17","  8.0","999.9","  59.9"," ","  38.3"," "," 0.00","D","999.9","010000"
"60714099999","2000-01-12","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  50.7","16","  45.9","16","1026.2"," 8","025.5"," 8","  6.2","16","  4.9","16","  8.0","999.9","  54.7"," ","  42.8"," "," 0.39","G","999.9","010010"
"60714099999","2000-01-13","37.245447","9.791453","6.09","SIDI AHMED AIR BASE, TS","  48.5","16","  43.7","16","1019.5"," 8","018.8"," 8","  7.1","16","  6.6","16"," 14.0","999.9","  55.4"," ","  40.3"," "," 0.00","G","999.9","000000"
