"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60710099999","2015-01-01","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  47.2","19","  37.0","19","1027.3"," 8","019.3"," 8","  5.6","19"," 11.3","19"," 17.1","999.9","  54.9"," ","  35.2"," "," 0.42","G","999.9","010000"
"60710099999","2015-01-02","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  51.0","22","  41.5","22","1032.8"," 8","024.7"," 8","  6.0","22","  6.5","22"," 17.1","999.9","  55.9"," ","  44.6","*"," 0.62","G","999.9","010000"
"60710099999","2015-01-03","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  55.6","24","  47.4","24","1035.2"," 8","027.2"," 8","  6.6","22"," 11.2","24"," 19.0","999.9","  60.8","*","  49.1"," "," 0.03","G","999.9","000000"
"60710099999","2015-01-04","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  58.8","22","  44.7","22","1029.3"," 8","021.3"," 8","  6.2","22"," 17.4","22"," 25.1"," 29.9","  63.9"," ","  52.7"," "," 0.00","G","999.9","000000"
"60710099999","2015-01-05","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  54.1","20","  45.1","20","1029.2"," 7","021.1"," 7","  6.4","20","  7.8","20"," 17.1","999.9","  62.6"," ","  39.2","*"," 0.00","G","999.9","000000"
"60710099999","2015-01-06","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  50.9","20","  43.2","20","1027.0"," 8","018.9"," 8","  6.7","20","  7.4","20"," 14.0","999.9","  61.0"," ","  37.9","*"," 0.00","G","999.9","000000"
"60710099999","2015-01-07","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  52.3","22","  45.2","22","1030.1"," 8","022.0"," 8","  6.6","22","  3.1","22","  5.1","999.9","  63.1"," ","  44.6","*"," 0.00","G","999.9","000000"
"60710099999","2015-01-08","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  50.7","23","  45.3","23","1036.0"," 7","027.9"," 7","  6.3","23","  4.2","23","  9.9","999.9","  60.8","*","  39.9"," "," 0.00","G","999.9","000000"
"60710099999","2015-01-09","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  56.5","20","  48.6","20","1038.4"," 8","031.1"," 8","  6.5","20"," 13.0","20"," 18.1","999.9","  60.8","*","  47.3"," "," 0.00","G","999.9","000000"
"60710099999","2015-01-10","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  58.1","19","  48.8","19","1032.3"," 6","024.3"," 6","  6.2","19"," 14.5","19"," 22.0","999.9","  62.1"," ","  53.6"," "," 0.00","G","999.9","000000"
"60710099999","2015-01-11","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  58.1","24","  38.1","24","1027.0"," 8","019.0"," 8","  6.7","20"," 10.2","24"," 21.0","999.9","  67.1"," ","  42.8","*"," 0.00","G","999.9","000000"
"60710099999","2015-01-12","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  54.9","19","  45.0","19","1032.5"," 8","024.5"," 8","  6.4","18","  8.8","19"," 21.0","999.9","  61.5"," ","  44.6","*"," 0.01","G","999.9","000000"
"60710099999","2015-01-13","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  54.5","21","  42.3","21","1029.1"," 8","021.1"," 8","  6.4","14","  4.1","21","  9.9","999.9","  70.5"," ","  40.3"," "," 0.00","G","999.9","000000"
"60710099999","2015-01-14","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  57.0","21","  42.2","21","1026.0"," 7","018.0"," 7","  7.2","13","  4.9","21"," 13.0","999.9","  69.8","*","  46.4","*"," 0.00","G","999.9","000000"
"60710099999","2015-01-15","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  55.5","23","  41.7","23","1023.6"," 8","015.6"," 8","  7.1","10","  4.9","22"," 11.1","999.9","  75.9"," ","  40.6"," "," 0.00","G","999.9","000000"
"60710099999","2015-01-16","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  62.0","19","  45.6","19","1017.4"," 7","009.6"," 7","  6.8","19","  3.4","19","  6.0","999.9","  72.3"," ","  48.2","*"," 0.00","G","999.9","000000"
"60710099999","2015-01-17","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  54.8","20","  49.1","20","1019.9"," 8","011.9"," 8","  5.7","20","  5.4","20"," 12.0","999.9","  60.8"," ","  46.9"," "," 0.60","G","999.9","010000"
"60710099999","2015-01-18","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  47.6","21","  44.7","21","1017.9"," 8","009.8"," 8","  5.2","21","  6.3","15","  9.9","999.9","  51.6","*","  46.2","*"," 1.45","G","999.9","010000"
"60710099999","2015-01-19","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  50.1","23","  38.3","23","1011.0"," 8","003.0"," 8","  6.7","23","  4.5","21"," 11.1","999.9","  59.7"," ","  41.0"," "," 0.40","G","999.9","000000"
"60710099999","2015-01-20","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  51.8","21","  39.1","21","1008.1"," 8","000.1"," 8","  6.4","21","  4.8","20"," 15.0","999.9","  61.2"," ","  38.3"," "," 0.00","G","999.9","000000"
"60710099999","2015-01-21","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  50.6","19","  40.1","19","1010.9"," 7","003.0"," 7","  6.4","19","  4.3","19"," 12.0","999.9","  59.4"," ","  41.9","*"," 0.02","G","999.9","000000"
"60710099999","2015-01-22","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  49.2","21","  39.5","21","1007.0"," 8","999.2"," 8","  6.0","21","  4.1","17"," 12.0"," 22.0","  59.4"," ","  41.9"," "," 0.00","G","999.9","010010"
"60710099999","2015-01-23","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  50.3","23","  42.8","23","1008.5"," 7","000.6"," 7","  5.2","23"," 18.8","15"," 29.9"," 40.0","  54.7"," ","  44.1"," "," 1.30","G","999.9","010000"
"60710099999","2015-01-24","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  53.1","19","  43.3","19","1013.2"," 7","005.3"," 7","  5.7","19"," 23.0","18"," 29.9"," 33.0","  56.3"," ","  48.2","*"," 0.51","G","999.9","010000"
"60710099999","2015-01-25","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  47.9","17","  41.4","17","1012.3"," 7","004.3"," 7","  6.0","17","  7.5","17"," 17.1","999.9","  54.1","*","  44.6","*"," 0.50","G","999.9","010000"
"60710099999","2015-01-26","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  52.7","13","  42.4","13","1016.8"," 4","008.8"," 4","  6.2","13","  6.3"," 6"," 15.9","999.9","  57.2"," ","  45.7","*"," 1.00","G","999.9","010010"
"60710099999","2015-01-27","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  51.2","13","  46.1","13","1018.3"," 5","010.3"," 5","  4.7","13"," 14.0","12"," 28.0"," 32.1","  55.6"," ","  48.2","*"," 0.00","G","999.9","010000"
"60710099999","2015-01-28","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  51.4","18","  42.6","18","1015.9"," 8","007.9"," 8","  5.2","18"," 13.0","18"," 22.0"," 35.0","  53.6"," ","  44.8"," "," 0.74","G","999.9","010000"
"60710099999","2015-01-29","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  53.6","22","  42.0","22","1012.8"," 7","004.8"," 7","  6.1","22","  9.8","22"," 19.0","999.9","  59.0","*","  48.6"," "," 0.51","G","999.9","010000"
"60710099999","2015-01-30","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  58.3","21","  45.1","21"," 998.8"," 8","991.2"," 7","  6.5","21"," 10.1","21"," 26.0"," 36.9","  64.4"," ","  51.6"," "," 0.03","G","999.9","010000"
"60710099999","2015-01-31","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  56.4","24","  48.9","24"," 992.9"," 6","984.7"," 7","  5.5","24","  9.8","24"," 20.0","999.9","  64.4"," ","  50.0","*"," 0.38","G","999.9","010000"
"60710099999","2015-02-01","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  46.3","23","  39.2","23","1003.4"," 8","995.5"," 8","  5.1","23"," 11.8","23"," 22.0"," 45.1","  51.1"," ","  41.0","*"," 1.09","G","999.9","010010"
"60710099999","2015-02-02","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  45.4","23","  39.6","23","1010.7"," 8","002.7"," 8","  5.2","23","  8.9","23"," 18.1"," 28.9","  50.7"," ","  39.4"," "," 1.15","G","999.9","010000"
"60710099999","2015-02-03","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  52.8","22","  40.1","22","1001.5"," 8","993.6"," 8","  6.4","22","  7.0","22"," 14.0"," 26.0","  61.5"," ","  39.9"," "," 0.34","G","999.9","010000"
"60710099999","2015-02-04","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  55.5","21","  41.2","21"," 992.2"," 4","985.9"," 5","  6.0","21","  7.2","21"," 22.0","999.9","  68.5"," ","  42.4"," "," 0.04","G","999.9","010000"
"60710099999","2015-02-05","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  48.4","21","  35.2","21","1002.5"," 8","994.6"," 8","  5.9","21"," 13.1","21"," 25.1"," 34.0","  54.0"," ","  41.0","*"," 0.02","G","999.9","010000"
"60710099999","2015-02-06","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  47.5","21","  32.9","21","1009.1"," 5","001.1"," 5","  6.1","21"," 13.1","21"," 19.0"," 26.0","  53.6","*","  40.6"," "," 0.21","G","999.9","010000"
"60710099999","2015-02-07","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  45.2","22","  35.2","22","1017.0"," 8","008.9"," 8","  6.5","22","  7.7","22"," 17.1","999.9","  53.1"," ","  33.3"," "," 0.00","G","999.9","010000"
"60710099999","2015-02-08","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  48.3","23","  39.0","23","1016.5"," 8","008.4"," 8","  6.3","23"," 13.8","23"," 22.9"," 29.9","  54.3"," ","  43.5"," "," 0.06","G","999.9","010000"
"60710099999","2015-02-09","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  47.8","22","  36.9","22","1019.6"," 8","011.5"," 8","  6.0","20"," 11.6","22"," 27.0"," 41.0","  52.9"," ","  41.0","*"," 0.28","G","999.9","010000"
"60710099999","2015-02-10","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  48.8","22","  38.2","22","1025.1"," 8","017.0"," 8","  6.3","22","  7.3","22"," 15.0","999.9","  57.2"," ","  39.4"," "," 0.06","G","999.9","000000"
"60710099999","2015-02-11","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  49.3","19","  39.6","19","1022.7"," 6","014.6"," 6","  6.3","19","  5.6","19","  8.9","999.9","  65.5"," ","  35.6"," "," 0.00","G","999.9","000000"
"60710099999","2015-02-12","36.98","8.876944","70.1","TABARKA 7 NOVEMBRE, TS","  52.9","23","  40.9","23","1019.5"," 7","011.3"," 8","  6.7","21","  8.5","23"," 14.0","999.9","  68.2"," ","  41.0","*"," 0.00","G","999.9","000000"
