STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
60710099999,1994-01-01,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",56.1,12,49.2,12,1019.7,12,11.7,12,4.5,12,15.9,12,25.1,35.0,63.1, ,44.6, ,0.0,H,999.9,10000
60710099999,1994-01-02,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",57.4,12,47.1,12,1020.7,12,12.7,12,5.0,12,20.1,12,27.0,999.9,60.1, ,52.7, ,0.08,G,999.9,0
60710099999,1994-01-03,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",58.6,14,49.7,14,1018.4,14,10.4,14,6.1,14,8.1,14,14.0,999.9,64.4,*,53.2,*,0.0,G,999.9,0
60710099999,1994-01-04,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",56.2,13,49.8,13,1016.3,13,8.4,13,5.6,13,4.0,13,8.0,999.9,66.9, ,46.4,*,0.0,D,999.9,0
60710099999,1994-01-05,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",56.6,16,49.8,16,1019.9,16,11.9,16,6.0,16,9.4,16,15.9,999.9,60.3, ,46.6,*,0.04,G,999.9,10000
60710099999,1994-01-06,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",60.9,15,41.7,15,1008.4,15,0.6,15,7.1,15,6.1,13,9.9,999.9,71.1,*,45.3, ,0.0,G,999.9,0
60710099999,1994-01-07,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",58.2,11,45.8,11,1003.7,11,995.9,11,5.8,10,4.9,11,12.0,999.9,62.6,*,53.8,*,0.0,D,999.9,0
60710099999,1994-01-08,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",49.1,12,47.0,12,1005.4,12,997.4,12,3.6,12,15.1,12,27.0,999.9,54.7, ,44.6,*,0.16,G,999.9,10000
60710099999,1994-01-09,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",55.8,15,47.3,15,1012.3,15,4.3,15,4.4,15,18.8,15,27.0,33.0,59.7, ,52.7, ,2.01,G,999.9,10000
60710099999,1994-01-10,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",57.9,12,48.7,12,1011.1,12,3.2,12,6.2,12,3.8,12,12.0,999.9,66.4, ,50.0,*,0.02,G,999.9,0
60710099999,1994-01-11,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",49.7,14,44.1,14,1011.6,14,3.5,14,3.7,14,14.3,14,21.0,999.9,54.7,*,44.6,*,0.08,G,999.9,10010
60710099999,1994-01-12,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",55.1,14,45.7,14,1018.4,13,10.4,13,4.0,14,17.3,14,21.0,36.9,59.0, ,42.8, ,1.3,G,999.9,10000
60710099999,1994-01-13,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",58.1,14,51.8,14,1025.5,14,17.6,14,5.1,14,10.5,14,14.0,999.9,61.9, ,55.4, ,0.0,G,999.9,0
60710099999,1994-01-14,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",55.2,9,49.7,9,1023.7,9,15.7,9,6.1,9,4.9,9,12.0,999.9,62.6,*,44.6,*,0.0,B,999.9,0
60710099999,1994-01-15,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",58.0,6,50.3,6,1018.2,6,10.3,6,6.1,6,14.0,6,15.9,999.9,59.0,*,55.4,*,0.0,C,999.9,0
60710099999,1994-01-16,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",54.0,12,48.3,12,1011.4,12,3.5,12,5.4,12,9.5,12,14.0,999.9,59.7, ,49.1,*,0.04,G,999.9,10000
60710099999,1994-01-17,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",52.5,15,46.5,15,1010.3,15,2.3,15,5.0,15,4.2,15,8.0,999.9,57.4, ,45.7, ,0.0,G,999.9,0
60710099999,1994-01-18,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",54.8,11,50.2,11,1016.4,11,8.4,11,5.5,11,4.7,11,9.9,999.9,59.4, ,49.1, ,0.0,D,999.9,0
60710099999,1994-01-19,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",56.2,13,50.8,13,1012.8,12,4.9,12,5.2,13,6.3,13,14.0,999.9,60.4, ,50.9,*,0.0,H,999.9,10000
60710099999,1994-01-20,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",53.5,14,48.6,14,1005.1,14,997.2,14,4.4,14,17.2,14,22.9,35.0,55.4,*,51.8,*,0.16,B,999.9,10000
60710099999,1994-01-21,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",53.1,13,41.4,13,1020.8,13,12.8,13,4.6,13,19.4,13,22.9,33.0,55.0,*,51.1, ,0.39,G,999.9,0
60710099999,1994-01-22,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",50.1,17,42.9,17,1026.7,17,18.6,17,4.3,17,8.2,17,12.0,999.9,54.7, ,46.8, ,0.01,G,999.9,10000
60710099999,1994-01-23,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",49.2,16,44.5,16,1028.3,16,20.1,16,5.8,16,3.1,16,8.0,999.9,56.3, ,42.8,*,0.12,G,999.9,10000
60710099999,1994-01-24,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",51.6,14,45.8,14,1026.0,14,17.9,14,4.9,14,8.9,14,16.9,999.9,57.2,*,40.8, ,0.04,G,999.9,10000
60710099999,1994-01-25,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",54.4,15,51.4,15,1022.8,15,14.8,15,3.7,15,16.8,15,19.0,33.0,56.3, ,50.9, ,0.12,G,999.9,10000
60710099999,1994-01-26,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",57.1,11,48.2,11,1023.4,11,15.4,11,4.5,11,18.9,11,22.9,999.9,59.7, ,54.5, ,0.55,G,999.9,0
60710099999,1994-01-27,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",56.0,15,44.8,15,1028.2,15,20.2,15,4.6,15,17.8,15,21.0,33.0,59.0, ,52.5, ,0.01,G,999.9,0
60710099999,1994-01-28,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",55.6,8,48.3,8,1027.2,8,19.1,8,4.7,8,19.4,8,27.0,999.9,60.3, ,52.2, ,0.0,G,999.9,0
60710099999,1994-01-29,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",54.2,15,43.8,15,1028.4,15,20.4,15,5.6,15,20.6,15,30.9,35.0,55.9,*,53.1, ,0.0,D,999.9,0
60710099999,1994-01-30,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",52.7,13,43.2,13,1031.4,13,23.3,13,6.0,13,7.1,13,12.0,999.9,58.6, ,44.6, ,0.01,G,999.9,0
60710099999,1994-01-31,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",50.9,13,41.6,13,1024.9,13,16.8,13,7.1,13,3.3,13,8.0,999.9,60.8, ,36.1, ,0.0,G,999.9,0
60710099999,1994-02-01,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",48.6,15,41.4,15,1024.3,15,16.2,15,5.9,15,4.7,15,8.0,8.9,64.0, ,35.6, ,0.0,D,999.9,0
60710099999,1994-02-02,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",50.6,16,43.0,16,1024.9,16,16.8,16,6.2,16,5.0,16,8.0,8.9,64.4, ,39.2, ,0.0,D,999.9,0
60710099999,1994-02-03,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",55.5,12,41.6,12,1015.7,12,7.7,12,6.2,12,5.5,12,8.0,8.9,71.8, ,38.1, ,0.0,D,999.9,0
60710099999,1994-02-04,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",56.3,11,34.0,11,1003.1,11,995.4,11,5.9,11,7.5,11,15.9,999.9,60.8,*,53.1,*,0.0,D,999.9,10000
60710099999,1994-02-05,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",49.5,15,38.3,15,1006.9,15,998.9,15,6.0,15,6.3,15,12.0,999.9,56.8, ,39.7, ,0.01,G,999.9,0
60710099999,1994-02-06,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",51.4,13,43.9,13,1006.5,13,998.5,13,4.4,13,21.7,13,33.0,44.9,54.1, ,44.6, ,0.08,G,999.9,10000
60710099999,1994-02-07,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",54.7,15,42.4,15,1011.6,15,3.8,15,3.6,14,28.2,15,36.9,47.0,59.2, ,50.0, ,0.31,G,999.9,10000
60710099999,1994-02-08,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",51.9,10,45.6,10,1012.8,10,4.7,10,3.9,10,6.6,10,15.9,999.9,61.7, ,46.4,*,0.0,G,999.9,10000
60710099999,1994-02-09,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",51.6,4,44.2,4,1017.5,4,9.5,4,3.4,4,23.5,4,25.1,39.0,53.2,*,42.8, ,0.87,G,999.9,10000
60710099999,1994-02-10,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",55.3,9,46.1,9,1021.2,9,13.2,9,4.7,9,18.5,9,25.1,999.9,58.1, ,53.6,*,0.0,G,999.9,0
60710099999,1994-02-11,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",55.1,13,42.0,13,1017.5,13,9.5,13,4.8,12,22.1,13,25.1,35.0,57.9, ,52.7,*,0.02,D,999.9,0
60710099999,1994-02-12,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",51.6,11,49.0,11,1012.7,11,4.7,11,2.9,11,9.5,11,21.0,999.9,55.0, ,49.3,*,0.39,B,999.9,10000
60710099999,1994-02-13,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",52.8,14,48.4,14,1005.5,14,997.5,14,4.1,14,8.1,14,14.0,999.9,57.2, ,48.7, ,0.87,G,999.9,10010
60710099999,1994-02-14,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",50.3,11,43.8,11,1012.9,11,4.9,11,6.2,11,4.9,11,8.0,999.9,62.6, ,44.6, ,0.87,G,999.9,0
60710099999,1994-02-15,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",54.5,11,45.4,11,1017.3,11,9.3,11,6.8,11,5.7,11,9.9,999.9,63.7,*,48.2, ,0.0,G,999.9,0
60710099999,1994-02-16,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",61.1,10,46.7,9,1010.9,10,3.0,10,6.3,10,10.8,10,16.9,999.9,67.3, ,45.5, ,0.0,D,999.9,0
60710099999,1994-02-17,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",54.9,13,49.8,13,1008.7,13,0.8,13,4.7,13,10.8,13,14.0,999.9,60.4, ,51.6,*,0.0,H,999.9,10000
60710099999,1994-02-18,36.98,8.876944,70.1,"TABARKA 7 NOVEMBRE, TS",52.4,5,46.1,5,1014.8,5,6.8,5,3.5,5,14.8,5,25.1,999.9,55.6, ,51.4,*,0.28,B,999.9,10000
