"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60772099999","1998-01-07","32.9166666","10.45","215.0","TATAOUINE, TS","  60.5"," 4","  50.5"," 4","1027.7"," 4","949.4"," 4","  6.5"," 4","  9.0"," 4"," 12.0","999.9","  65.3"," ","  57.0","*"," 0.00","D","999.9","000000"
"60772099999","1998-01-08","32.9166666","10.45","215.0","TATAOUINE, TS","  56.8"," 4","  47.7"," 4","1031.9"," 4","005.8"," 4","  5.8"," 4","  2.5"," 4","  4.1","999.9","  66.2"," ","  48.6"," "," 0.00","D","999.9","100000"
"60772099999","1998-01-10","32.9166666","10.45","215.0","TATAOUINE, TS","  54.5"," 4","  46.4"," 4","1032.5"," 4","006.3"," 4","  5.3"," 4","  4.5"," 4","  8.0","999.9","  62.2"," ","  41.2"," "," 0.00","D","999.9","000000"
"60772099999","1998-01-12","32.9166666","10.45","215.0","TATAOUINE, TS","  58.4"," 4","  36.1"," 4","1029.8"," 4","978.8"," 4"," 10.9"," 4","  7.5"," 4","  9.9","999.9","  64.0"," ","  52.9","*"," 0.00","D","999.9","000000"
"60772099999","1998-01-15","32.9166666","10.45","215.0","TATAOUINE, TS","  51.7"," 5","  46.4"," 5","1023.1"," 5","997.0"," 5","  8.9"," 5"," 14.2"," 5"," 19.0","999.9","  55.2"," ","  50.0"," "," 0.01","G","999.9","010000"
"60772099999","1998-01-18","32.9166666","10.45","215.0","TATAOUINE, TS","  55.8"," 4","  33.5"," 4","1022.8"," 4","996.9"," 4"," 11.7"," 4"," 14.0"," 4"," 15.9","999.9","  60.8","*","  49.1"," "," 0.00","C","999.9","000000"
"60772099999","1998-01-21","32.9166666","10.45","215.0","TATAOUINE, TS","  55.0"," 4","  22.3"," 4","1016.5"," 4","990.6"," 4","  6.5"," 4"," 14.7"," 4"," 19.0","999.9","  59.0","*","  48.6"," "," 0.00","C","999.9","000000"
"60772099999","1998-01-24","32.9166666","10.45","215.0","TATAOUINE, TS","  59.1"," 4","  31.9"," 4","1013.4"," 4","987.8"," 4"," 11.7"," 4","  0.0"," 4","999.9","999.9","  68.9"," ","  50.0","*"," 0.00","D","999.9","000000"
"60772099999","1998-01-25","32.9166666","10.45","215.0","TATAOUINE, TS","  56.2"," 4","  37.0"," 4","1012.4"," 4","985.5"," 4"," 11.7"," 4","  8.4"," 4"," 14.0","999.9","  62.6","*","  40.6"," "," 0.00","C","999.9","000000"
"60772099999","1998-01-26","32.9166666","10.45","215.0","TATAOUINE, TS","  54.1"," 5","  35.7"," 5","1014.9"," 5","989.8"," 5"," 11.2"," 5","  6.4"," 5","  9.9","999.9","  61.5"," ","  42.8"," "," 0.00","D","999.9","000000"
"60772099999","1998-01-28","32.9166666","10.45","215.0","TATAOUINE, TS","  54.7"," 4","  40.7"," 4","1016.2"," 4","990.3"," 4"," 10.1"," 4","  5.1"," 4","  6.0","999.9","  63.3","*","  41.9"," "," 0.00","C","999.9","000000"
"60772099999","1998-02-05","32.9166666","10.45","215.0","TATAOUINE, TS","  65.9"," 5","  44.6"," 5","1013.8"," 5","988.6"," 5","  8.3"," 5"," 13.4"," 5"," 21.0","999.9","  73.8"," ","  59.9"," "," 0.00","D","999.9","000000"
"60772099999","1998-02-08","32.9166666","10.45","215.0","TATAOUINE, TS","  52.8"," 4","  45.2"," 4","1028.6"," 4","001.2"," 4","  7.3"," 4","  3.5"," 4","  9.9","999.9","  57.6","*","  42.8"," "," 0.47","G","999.9","000000"
"60772099999","1998-02-09","32.9166666","10.45","215.0","TATAOUINE, TS","  52.7"," 4","  41.9"," 4","1027.4"," 4","001.2"," 4"," 10.9"," 4","  5.5"," 4","  8.0","999.9","  56.8","*","  43.7"," "," 0.00","G","999.9","000000"
"60772099999","1998-02-12","32.9166666","10.45","215.0","TATAOUINE, TS","  58.6"," 4","  37.2"," 4","1033.9"," 4","999.9"," 0"," 12.4"," 4","  3.5"," 4","  8.0","999.9","  64.4"," ","  54.9","*"," 0.00","D","999.9","000000"
"60772099999","1998-03-17","32.9166666","10.45","215.0","TATAOUINE, TS","  64.4"," 4","  36.4"," 4","1026.5"," 4","999.9"," 0"," 12.4"," 4","  8.4"," 4","  9.9","999.9","  69.3"," ","  59.4","*"," 0.00","D","999.9","000000"
"60772099999","1998-03-24","32.9166666","10.45","215.0","TATAOUINE, TS","  72.1"," 4","  36.3"," 4","1013.7"," 4","988.8"," 4"," 10.9"," 4","  9.7"," 4"," 16.9","999.9","  84.0"," ","  67.3","*"," 0.00","D","999.9","000000"
"60772099999","1998-03-29","32.9166666","10.45","215.0","TATAOUINE, TS","  63.8"," 4","  25.9"," 4","1018.2"," 4","992.7"," 4"," 10.9"," 4"," 10.0"," 4"," 14.0","999.9","  73.9","*","  50.9"," "," 0.00","C","999.9","000000"
"60772099999","1998-04-06","32.9166666","10.45","215.0","TATAOUINE, TS","  69.4"," 4","  53.6"," 4","1017.9"," 4","992.8"," 4"," 10.9"," 4"," 16.5"," 4"," 19.0","999.9","  73.8","*","  59.7"," "," 0.00","C","999.9","000000"
"60772099999","1998-04-11","32.9166666","10.45","215.0","TATAOUINE, TS","  68.9"," 5","  51.1"," 5","1010.5"," 5","985.6"," 5","  8.7"," 5"," 12.4"," 5"," 14.0","999.9","  76.3"," ","  59.9"," "," 0.00","D","999.9","000000"
"60772099999","1998-04-13","32.9166666","10.45","215.0","TATAOUINE, TS","  66.9"," 5","  56.2"," 5","1015.0"," 5","989.8"," 5"," 12.4"," 5","  9.4"," 5"," 16.9","999.9","  82.4"," ","  54.3"," "," 0.00","D","999.9","000000"
"60772099999","1998-04-16","32.9166666","10.45","215.0","TATAOUINE, TS","  71.6"," 4","  51.9"," 4","1011.5"," 4","986.6"," 4"," 11.2"," 4"," 10.4"," 4"," 15.9","999.9","  77.9"," ","  66.7","*"," 0.00","D","999.9","000000"
"60772099999","1998-04-17","32.9166666","10.45","215.0","TATAOUINE, TS","  79.9"," 4","  37.1"," 4","1008.2"," 4","983.8"," 4","  7.8"," 4"," 18.0"," 4"," 27.0","999.9","  87.3","*","  59.0"," "," 0.00","C","999.9","000000"
"60772099999","1998-04-18","32.9166666","10.45","215.0","TATAOUINE, TS","  67.4"," 5","  49.4"," 5","1011.2"," 5","986.1"," 5","  8.7"," 5"," 11.6"," 5"," 14.0","999.9","  75.6"," ","  60.8"," "," 0.00","D","999.9","000000"
"60772099999","1998-04-19","32.9166666","10.45","215.0","TATAOUINE, TS","  66.6"," 4","  42.9"," 4","1017.7"," 4","992.5"," 4"," 11.7"," 4","  5.0"," 4","  8.0","999.9","  75.9","*","  50.4"," "," 0.00","C","999.9","000000"
"60772099999","1998-04-20","32.9166666","10.45","215.0","TATAOUINE, TS","  73.0"," 4","  41.3"," 4","1017.4"," 4","992.5"," 4"," 11.7"," 4","  9.0"," 4"," 12.0","999.9","  86.9"," ","  49.1"," "," 0.00","D","999.9","000000"
"60772099999","1998-04-21","32.9166666","10.45","215.0","TATAOUINE, TS","  69.3"," 5","  54.5"," 5","1015.5"," 5","990.5"," 5","  8.5"," 4","  7.6"," 5"," 12.0","999.9","  78.8"," ","  61.7"," "," 0.00","D","999.9","000000"
"60772099999","1998-04-22","32.9166666","10.45","215.0","TATAOUINE, TS","  70.3"," 5","  57.8"," 5","1006.8"," 5","982.0"," 5","  7.5"," 5"," 12.4"," 5"," 15.9","999.9","  78.4"," ","  64.0"," "," 0.04","G","999.9","000000"
"60772099999","1998-04-23","32.9166666","10.45","215.0","TATAOUINE, TS","  72.3"," 5","  50.3"," 5","1007.2"," 5","982.5"," 5","  7.2"," 5"," 14.8"," 5"," 25.1","999.9","  80.6"," ","  58.1"," "," 0.01","G","999.9","000000"
"60772099999","1998-04-24","32.9166666","10.45","215.0","TATAOUINE, TS","  64.7"," 4","  51.3"," 4","1015.1"," 4","989.9"," 4","  7.0"," 4"," 17.0"," 4"," 21.0","999.9","  68.0","*","  60.1"," "," 0.00","G","999.9","000000"
"60772099999","1998-04-25","32.9166666","10.45","215.0","TATAOUINE, TS","  66.1"," 5","  45.9"," 5","1021.2"," 5","995.8"," 5"," 12.4"," 5"," 11.4"," 5"," 19.0","999.9","  73.4"," ","  54.5"," "," 0.02","G","999.9","000000"
"60772099999","1998-04-26","32.9166666","10.45","215.0","TATAOUINE, TS","  71.7"," 4","  44.7"," 4","1017.5"," 4","992.5"," 4"," 12.4"," 4","  2.5"," 4","  6.0","999.9","  82.8","*","  53.6"," "," 0.00","G","999.9","000000"
"60772099999","1998-04-27","32.9166666","10.45","215.0","TATAOUINE, TS","  79.7"," 5","  40.5"," 5","1008.0"," 5","983.6"," 5"," 11.8"," 5"," 10.0"," 5"," 15.9","999.9","  89.6"," ","  64.8"," "," 0.00","D","999.9","000000"
"60772099999","1998-04-30","32.9166666","10.45","215.0","TATAOUINE, TS","  76.1"," 4","  40.9"," 4","1009.7"," 4","985.2"," 4"," 10.9"," 4","  9.5"," 4"," 14.0","999.9","  88.5"," ","  58.8"," "," 0.00","D","999.9","000000"
