"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"60738099999","2004-01-01","35.55","8.6833333","1092.0","THALA, TS","  33.6"," 8","  33.6"," 8","9999.9"," 0","886.6"," 8","  0.2"," 8"," 23.5"," 8"," 30.9","999.9","  35.8"," ","  31.5"," "," 0.24","G","999.9","011000"
"60738099999","2004-01-02","35.55","8.6833333","1092.0","THALA, TS","  35.4"," 7","  33.8"," 7","9999.9"," 0","882.8"," 7","  3.8"," 7"," 16.8"," 7"," 22.9","999.9","  39.2"," ","  33.1","*"," 0.18","G","999.9","000000"
"60738099999","2004-01-03","35.55","8.6833333","1092.0","THALA, TS","  34.9"," 7","  34.9"," 7","9999.9"," 0","881.4"," 6","  0.9"," 7"," 22.7"," 7"," 28.9","999.9","  37.6"," ","  32.9","*"," 0.00","G","999.9","010000"
"60738099999","2004-01-04","35.55","8.6833333","1092.0","THALA, TS","  35.8"," 8","  35.5"," 8","9999.9"," 0","890.7"," 7","  1.9"," 8"," 15.5"," 8"," 25.1","999.9","  39.6"," ","  33.8","*"," 0.00","E","999.9","000000"
"60738099999","2004-01-05","35.55","8.6833333","1092.0","THALA, TS","  35.5"," 7","  34.5"," 7","9999.9"," 0","894.9"," 7","  3.4"," 7"," 16.7"," 7"," 21.0","999.9","  40.1"," ","  33.8"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-06","35.55","8.6833333","1092.0","THALA, TS","  40.8"," 6","  32.4"," 6","9999.9"," 0","898.5"," 6","  7.0"," 6","  8.4"," 6"," 15.0","999.9","  47.1"," ","  34.2"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-07","35.55","8.6833333","1092.0","THALA, TS","  45.9"," 7","  23.7"," 7","9999.9"," 0","897.0"," 7","  7.1"," 7","  6.0"," 7","  8.0","999.9","  55.6"," ","  38.7"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-08","35.55","8.6833333","1092.0","THALA, TS","  40.9"," 7","  34.1"," 7","9999.9"," 0","895.6"," 7","  6.4"," 7"," 10.2"," 7"," 15.9","999.9","  45.9"," ","  36.9","*"," 0.00","E","999.9","000000"
"60738099999","2004-01-09","35.55","8.6833333","1092.0","THALA, TS","  44.9"," 8","  42.3"," 8","9999.9"," 0","896.1"," 8","  5.7"," 8"," 17.6"," 8"," 21.0","999.9","  50.9"," ","  39.2"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-10","35.55","8.6833333","1092.0","THALA, TS","  47.8"," 8","  46.5"," 8","9999.9"," 0","896.0"," 8","  5.1"," 8"," 22.2"," 8"," 28.9","999.9","  52.0"," ","  45.7"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-11","35.55","8.6833333","1092.0","THALA, TS","  46.5"," 8","  45.2"," 8","9999.9"," 0","898.7"," 7","  5.5"," 8"," 19.0"," 8"," 25.1","999.9","  52.3"," ","  41.9","*"," 0.00","G","999.9","000000"
"60738099999","2004-01-12","35.55","8.6833333","1092.0","THALA, TS","  50.8"," 8","  44.1"," 8","9999.9"," 0","900.3"," 8","  7.5"," 8"," 10.2"," 8"," 14.0","999.9","  59.9"," ","  41.2"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-13","35.55","8.6833333","1092.0","THALA, TS","  53.2"," 8","  37.2"," 8","9999.9"," 0","897.3"," 8","  7.4"," 8"," 15.8"," 8"," 21.0","999.9","  62.4"," ","  46.6"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-14","35.55","8.6833333","1092.0","THALA, TS","  53.7"," 7","  30.9"," 7","9999.9"," 0","893.2"," 7","  7.5"," 7"," 12.3"," 7"," 19.0","999.9","  61.9"," ","  49.5","*"," 0.00","G","999.9","000000"
"60738099999","2004-01-15","35.55","8.6833333","1092.0","THALA, TS","  42.3"," 8","  41.4"," 8","9999.9"," 0","892.6"," 8","  3.2"," 8"," 13.5"," 8"," 16.9","999.9","  46.2","*","  38.3","*"," 0.00","G","999.9","000000"
"60738099999","2004-01-16","35.55","8.6833333","1092.0","THALA, TS","  43.7"," 8","  39.1"," 8","9999.9"," 0","894.8"," 8","  4.5"," 8","  8.0"," 8"," 14.0","999.9","  53.8"," ","  35.2"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-17","35.55","8.6833333","1092.0","THALA, TS","  45.0"," 8","  39.2"," 8","9999.9"," 0","893.8"," 8","  7.0"," 8"," 11.0"," 8"," 15.9","999.9","  53.1"," ","  39.6"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-18","35.55","8.6833333","1092.0","THALA, TS","  46.0"," 7","  38.4"," 7","9999.9"," 0","887.4"," 7","  6.7"," 7"," 16.4"," 7"," 19.0","999.9","  54.9"," ","  39.6"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-19","35.55","8.6833333","1092.0","THALA, TS","  36.7"," 8","  35.3"," 8","9999.9"," 0","888.0"," 8","  3.9"," 8","  8.3"," 8"," 14.0","999.9","  42.4"," ","  34.2"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-20","35.55","8.6833333","1092.0","THALA, TS","  36.2"," 7","  33.9"," 7","9999.9"," 0","889.1"," 6","  6.0"," 7"," 10.0"," 7"," 12.0","999.9","  43.3"," ","  32.5"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-21","35.55","8.6833333","1092.0","THALA, TS","  37.4"," 8","  37.4"," 8","9999.9"," 0","885.9"," 7","  2.5"," 8"," 25.3"," 8"," 35.0","999.9","  39.7"," ","  32.9"," "," 0.00","D","999.9","000000"
"60738099999","2004-01-22","35.55","8.6833333","1092.0","THALA, TS","  38.7"," 5","  38.7"," 5","9999.9"," 0","889.3"," 5","  0.3"," 5"," 29.3"," 5"," 42.9","999.9","  40.6","*","  37.4"," "," 0.00","G","999.9","010000"
"60738099999","2004-01-23","35.55","8.6833333","1092.0","THALA, TS","  42.3"," 7","  39.1"," 7","9999.9"," 0","891.8"," 7","  3.0"," 7"," 16.5"," 7"," 22.9","999.9","  50.0","*","  38.3"," "," 0.13","G","999.9","010000"
"60738099999","2004-01-24","35.55","8.6833333","1092.0","THALA, TS","  39.4"," 8","  39.3"," 8","9999.9"," 0","889.2"," 8","  2.3"," 8"," 20.8"," 8"," 28.9","999.9","  42.1","*","  37.4","*"," 0.19","G","999.9","010000"
"60738099999","2004-01-25","35.55","8.6833333","1092.0","THALA, TS","  41.8"," 7","  41.0"," 6","9999.9"," 0","891.9"," 6","  3.6"," 7"," 17.3"," 7"," 23.3","999.9","  45.9","*","  37.9"," "," 0.00","G","999.9","000000"
"60738099999","2004-01-26","35.55","8.6833333","1092.0","THALA, TS","  49.2"," 8","  41.9"," 7","9999.9"," 0","889.8"," 7","  6.9"," 8"," 13.1"," 8"," 19.0","999.9","  58.6"," ","  43.3","*"," 0.00","E","999.9","000000"
"60738099999","2004-01-27","35.55","8.6833333","1092.0","THALA, TS","  47.4"," 8","  43.3"," 7","9999.9"," 0","887.3"," 7","  7.4"," 8","  9.0"," 8"," 14.0","999.9","  56.8"," ","  30.9","*"," 0.00","E","999.9","000000"
